ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
4 year(s),,Null,,2019 Mercedes-Benz GLC300,"$28,998*",38K miles,273 torque@1300rpm,241 horsepower@5500rpm,17.4 gal,"183.3"" L x 74.4"" W x 64.5"" H","113.1""",P235/60HR18,"40.8""","41.9""",19.4 cu ft,"3,891 lbs","3,500/3,500 lbs",22 city/27 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,2016 Acura MDX,"$24,998*",66K miles,267 torque@4700rpm,290 horsepower@6200rpm,19.5 gal,"193.6"" L x 77.2"" W x 67.6"" H","111""",P245/55HR19,"41.5""","38.1""",15 cu ft,"4,262 lbs","3,500/3,500 lbs",18 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,White/Tan,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Highlander LE,"$32,998*",45K miles,263 torque@4700rpm,295 horsepower@6600rpm,17.9 gal,"194.9"" L x 76"" W x 68.1"" H","112.2""",P235/65VR18,"42""","41.2""",16 cu ft,"4,330 lbs","5,000/5,000 lbs",20 city/27 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Gray,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Jeep Grand Cherokee Laredo X,"$34,998*",24K miles,260 torque@4000rpm,293 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/60TR18,"40.3""","39.9""",36.3 cu ft,"4,625 lbs","3,500/3,500 lbs",25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Black/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Cadillac XT5 Premium Luxury,"$34,998*",40K miles,271 torque@5000rpm,310 horsepower@6600rpm,21.7 gal,"189.6"" L x 74.9"" W x 66.1"" H","112.5""",P235/65R18,"41.2""","37.9""",Null,"4,206 lbs","3,500/3,500 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Gray/Brown,,2']
Current Year,,Null,,2023 Hyundai Santa Fe SEL,"$30,998*",5K miles,181 torque@4000rpm,191 horsepower@6100rpm,18.8 gal,"188.4"" L x 74.8"" W x 66.3"" H","108.9""",P235/60TR18,"44.1""","41.2""",36.4 cu ft,"3,810 lbs","2,000/2,000 lbs",25 city/28 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Black/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Mercedes-Benz GLB250,"$35,998*",25K miles,258 torque@1800rpm,221 horsepower@5500rpm,15.9 gal,"182.4"" L x 72.2"" W x 65.3"" H","111.4""",P235/55HR18,"41.4""","40.7""",20.1 cu ft,"3,759 lbs",Null,23 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Ford Expedition Max XLT,"$43,998*",55K miles,470 torque@3500rpm,375 horsepower@5000rpm,28.3 gal,"221.9"" L x 79.9"" W x 76.2"" H","131.6""",P275/65TR18,"43.9""","42""",36 cu ft,"5,793 lbs","6,000/6,000 lbs",16 city/21 hwy,"6-cyl, Turbo Gas, 3.5L",Four Wheel Drive,Automatic,Gray/Gray,,2']
1 year(s),,Null,,2022 Nissan Rogue SL,"$35,998*",22K miles,225 torque@2800rpm,201 horsepower@5600rpm,14.5 gal,"183"" L x 72.4"" W x 66.5"" H","106.5""",P235/55VR19,"41.5""","39.2""",36.3 cu ft,"3,697 lbs","1,500/1,500 lbs",28 city/34 hwy,"3-cyl, Turbo Gas, 1.5L",All Wheel Drive,Automatic,Gray/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Corolla Cross XLE,"$31,998*",4K miles,151 torque@4400rpm,169 horsepower@6600rpm,12.4 gal,"175.6"" L x 71.9"" W x 64.8"" H","103.9""",P225/55HR18,"42.9""","38.6""",25.5 cu ft,"3,170 lbs","1,500/1,500 lbs",31 city/33 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Black/Black,,2']
6 year(s),,Null,,2017 Buick Envision Essence,"$22,998*",33K miles,192 torque@4400rpm,197 horsepower@6300rpm,17.3 gal,"183.7"" L x 72.4"" W x 66.8"" H","108.3""",P225/60R18,"40.9""","40""",Null,"3,755 lbs",Null,22 city/29 hwy,"4-cyl, Gas, 2.5L",Null,Automatic,Red/Tan,,2']
4 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,2019 Lexus NX 300,"$31,998*",23K miles,258 torque@1650rpm,235 horsepower@4800rpm,15.9 gal,"182.3"" L x 73.6"" W x 64.8"" H","104.7""",P225/65HR17,"42.8""","38.2""",17.7 cu ft,"3,940 lbs","2,000/2,000 lbs",22 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Silver/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 BMW X3 XDrive30i,"$40,998*",29K miles,258 torque@1450rpm,248 horsepower@5200rpm,17.2 gal,"185.9"" L x 74.4"" W x 66"" H","112.8""",P245/50HR19,"40.3""","41.1""",28.7 cu ft,"4,149 lbs",Null,Null,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Brown,,2']
4 year(s),,Null,1 Service Record(s) Reported,2019 Toyota RAV4 Hybrid Limited,"$31,998*",71K miles,163 torque@3600rpm,219 horsepower@5700rpm,14.5 gal,"180.9"" L x 73"" W x 67"" H","105.9""",P225/60HR18,"41""","37.7""",37.5 cu ft,"3,800 lbs","1,750/1,750 lbs",41 city/38 hwy,"4-cyl, Hybrid, 2.5L",All Wheel Drive,Automatic,Gray/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2021 GMC Acadia SLT,"$34,998*",42K miles,271 torque@5000rpm,310 horsepower@6600rpm,22 gal,"193.4"" L x 75.4"" W x 66.7"" H","112.5""",P235/65R18,"41""","40""",12.8 cu ft,"4,234 lbs",Null,19 city/26 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Black/Black,,2']
4 year(s),,Null,,2019 Hyundai Tucson SEL,"$17,998*",97K miles,175 torque@4000rpm,181 horsepower@6000rpm,16.4 gal,"176.4"" L x 72.8"" W x 64.8"" H","105.1""",P225/55HR18,"41.5""","39.6""",31 cu ft,"3,426 lbs","1,000/1,000 lbs",22 city/28 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,White/Gray,,2']
5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2018 BMW X5 XDrive35i,"$33,998*",43K miles,300 torque@1200rpm,300 horsepower@5800rpm,22.4 gal,"192.4"" L x 76.3"" W x 69.4"" H","115.5""",P255/50WR19,"40.4""","40.5""",35.8 cu ft,"4,790 lbs","5,952/5,952 lbs",18 city/24 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Gray/Black,,2']
