,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
10,2020 Dodge Challenger R/T Scat Pack Widebody,"$52,998*",12K miles,3 year(s),,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 79.2"" W x 57.5"" H","116.2""",P305/35YR20,"42""","39.3""",Null,"4,308 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Null,Automatic,Blue/Black,None,2']
11,2018 BMW M4,"$53,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,406 torque@1850rpm,425 horsepower@5500rpm,15.9 gal,"184.5"" L x 73.6"" W x 54.4"" H","110.7""",P255/40YR18,"42.2""","39.8""",Null,"3,530 lbs",Null,17 city/25 hwy,"6-cyl, Turbo Gas, 3.0L",Null,Automatic,Silver/Black,None,2']
12,2018 Dodge Challenger R/T,"$31,998*",37K miles,5 year(s),,Null,1 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Black/Black,None,2']
13,2020 Ford Mustang GT Premium,"$36,998*",35K miles,3 year(s),No Accidents or Damage Reported,Null,,420 torque@4600rpm,460 horsepower@7000rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,825 lbs",Null,15 city/24 hwy,"8-cyl, Gas, 5.0L",Null,Automatic,Red/Red,None,2']
14,2014 Mercedes-Benz SLK350,"$30,998*",28K miles,9 year(s),No Accidents or Damage Reported,Null,,273 torque@3500rpm,302 horsepower@6500rpm,18.5 gal,"162.8"" L x 71.5"" W x 51.2"" H","95.7""",P225/40YR18,"42.5""","39.1""",Null,"3,417 lbs",Null,21 city/29 hwy,"6-cyl, Gas, 3.5L",Rear Wheel Drive,Automatic,Gray/Red,None,2']
15,2019 Fiat 124 Spider Classica,"$23,998*",13K miles,4 year(s),No Accidents or Damage Reported,Null,,184 torque@3200rpm,160 horsepower@5500rpm,11.9 gal,"159.6"" L x 68.5"" W x 48.5"" H","90.9""",P195/50VR16,"43.1""","37.4""",Null,"2,436 lbs",Null,26 city/35 hwy,"4-cyl, Turbo Gas, 1.4L",Rear Wheel Drive,Manual 5 Speed,White/Black,None,2']
16,2019 Acura TLX,"$28,998*",26K miles,4 year(s),,Null,,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"191.5"" L x 73"" W x 57"" H","109.3""",P245/40VR19,"42.6""","37.2""",Null,"3,765 lbs",Null,20 city/29 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,None,2']
17,2015 Ford Mustang GT,"$29,998*",34K miles,8 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/25 hwy,"8-cyl, Gas, 5.0L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
18,2021 Ford Mustang Ecoboost Premium,"$29,998*",28K miles,2 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,27 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Blue/Black,None,2']
19,2021 Ford Mustang Ecoboost Premium,"$25,998*",37K miles,2 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,27 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
