,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
70,2018 Fiat 124 Spider Classica,"$21,998*",30K miles,5 year(s),No Accidents or Damage Reported,Null,,184 torque@3200rpm,160 horsepower@5500rpm,11.9 gal,"159.6"" L x 68.5"" W x 48.5"" H","90.9""",P195/50VR16,"43.1""","37.4""",Null,"2,436 lbs",Null,26 city/35 hwy,"4-cyl, Turbo Gas, 1.4L",Rear Wheel Drive,Manual 6 Speed,Gray/Black,None,2']
71,2019 Ford Mustang Ecoboost Premium,"$25,998*",37K miles,4 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,20 city/28 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Manual 6 Speed,Red/Black,None,2']
72,2019 Ford Mustang Ecoboost Premium,"$23,998*",44K miles,4 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20 city/28 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Silver/Black,None,2']
73,2015 Chevrolet Corvette Stingray,"$43,998*",21K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.90"" L x 73.90"" W x 48.80"" H","106.70""",P245/40ZR18,"43.00""","37.90""",Null,"3,298 lbs",Null,17 city/29 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Silver/Black,None,2']
74,2018 Dodge Challenger T/A 392,"$42,998*",17K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P275/40YR20,"42""","39.3""",Null,"4,232 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Automatic,Black/Black,None,2']
75,2019 Audi S5 Premium Plus,"$35,998*",47K miles,4 year(s),No Accidents or Damage Reported,Null,,369 torque@1370rpm,349 horsepower@5400rpm,15.3 gal,"184.7"" L x 72.7"" W x 53.9"" H","108.8""",P245/40YR18,"41.3""","39""",Null,"3,847 lbs",Null,21 city/30 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Black/Black,None,2']
76,2019 Volkswagen Jetta GLI Autobahn,"$26,998*",35K miles,4 year(s),No Accidents or Damage Reported,Null,,258 torque@1700rpm,228 horsepower@5000rpm,13.2 gal,"185.2"" L x 70.8"" W x 56.8"" H","105.6""",P225/45HR18,"41.1""","38.5""",Null,"3,274 lbs",Null,25 city/32 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Black,None,2']
77,2014 Scion FR-S,"$19,998*",78K miles,9 year(s),,Null,1 Service Record(s) Reported,151 torque@6400rpm,200 horsepower@7000rpm,13.2 gal,"166.7"" L x 69.9"" W x 50.6"" H","101.2""",P215/45WR17,"41.9""","37.1""",Null,"2,758 lbs",Null,22 city/30 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Red/Black,None,2']
78,2016 BMW M4,"$43,998*",46K miles,7 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,406 torque@1850rpm,425 horsepower@5500rpm,15.9 gal,"184.5"" L x 73.6"" W x 54.4"" H","110.7""",P255/40YR18,"42.2""","39.8""",Null,"3,530 lbs",Null,17 city/26 hwy,"6-cyl, Turbo Gas, 3.0L",Rear Wheel Drive,Automatic,Gray/Gray,None,2']
79,2020 Dodge Challenger R/T Scat Pack Widebody,"$49,998*",7K miles,3 year(s),No Accidents or Damage Reported,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 79.2"" W x 57.5"" H","116.2""",P305/35YR20,"42""","39.3""",Null,"4,308 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Null,Automatic,Red/Black,None,2']
80,2016 Chevrolet Camaro LT,"$23,998*",57K miles,7 year(s),,Null,1 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Black,None,2']
81,2016 Ford Mustang,"$23,998*",20K miles,7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,17 city/28 hwy,"6-cyl, Gas, 3.7L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
82,2018 BMW M550 I xDrive,"$41,998*",42K miles,5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,480 torque@1800rpm,456 horsepower@5500rpm,18 gal,"195.4"" L x 73.5"" W x 57.8"" H","117.1""",P245/40YR19,"41.4""","38.8""",Null,"4,372 lbs",Null,16 city/25 hwy,"8-cyl, Turbo Gas, 4.4L",All Wheel Drive,Automatic,Gray/Black,None,2']
83,2022 Dodge Challenger GT,"$31,998*",16K miles,1 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,303 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.7"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"3,886 lbs",Null,Null,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Gray/Red,None,2']
84,2020 Jaguar F-Type Checkered Flag,"$44,998*",24K miles,3 year(s),,Null,3 Service Record(s) Reported,295 torque@1500rpm,296 horsepower@5500rpm,16.6 gal,"176.5"" L x 75.7"" W x 51.6"" H","103.2""",P255/35YR20,"42.8""","36.8""",Null,"3,360 lbs",Null,23 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
85,2018 Fiat 124 Spider Lusso,"$21,998*",29K miles,5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,184 torque@3200rpm,160 horsepower@5500rpm,11.9 gal,"159.6"" L x 68.5"" W x 48.5"" H","90.9""",P205/45WR17,"43.1""","37.4""",Null,"2,436 lbs",Null,26 city/35 hwy,"4-cyl, Turbo Gas, 1.4L",Null,Automatic,Red/Black,None,2']
86,2020 Chevrolet Camaro LT,"$24,998*",37K miles,3 year(s),No Accidents or Damage Reported,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,627 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Red/Gray,None,2']
87,2014 Chevrolet Camaro LT,"$20,998*",70K miles,9 year(s),,Null,4 Service Record(s) Reported,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,738 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,White/Black,None,2']
88,2014 Chevrolet Camaro LT,"$22,998*",46K miles,9 year(s),No Accidents or Damage Reported,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,738 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Red/Black,None,2']
89,2020 Ford Mustang Shelby GT350,"$59,998*",28K miles,3 year(s),,Null,,429 torque@4750rpm,526 horsepower@7500rpm,16 gal,"188.9"" L x 75.9"" W x 54.2"" H","107.1""",P295/35ZR19,"44.5""","37.6""",Null,"3,760 lbs",Null,14 city/21 hwy,"8-cyl, Gas, 5.2L",Rear Wheel Drive,Manual 6 Speed,Gray/Gray,None,2']
90,2013 Chevrolet Camaro ZL1,"$47,998*",7K miles,10 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,556 torque@4200rpm,580 horsepower@6000rpm,19.0 gal,"190.40"" L x 75.50"" W x 54.20"" H","112.30""",P285/35ZR20,"42.40""","37.40""",Null,"4,120 lbs",Null,14 city/19 hwy,"8-cyl, Supercharged Gas, 6.2L",Rear Wheel Drive,Automatic,Black/Black,None,2']
91,2016 Mazda MX-5 Miata Grand Touring,"$19,998*",82K miles,7 year(s),No Accidents or Damage Reported,Null,,148 torque@4600rpm,155 horsepower@6000rpm,11.9 gal,"154.1"" L x 68.3"" W x 48.8"" H","90.9""",P205/45WR17,"43.1""","37.4""",Null,"2,332 lbs",Null,27 city/34 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Red/Black,None,2']
92,2017 Mercedes-Benz SL450,"$50,998*",27K miles,6 year(s),,Null,,369 torque@2000rpm,362 horsepower@5500rpm,19.8 gal,"182.3"" L x 73.9"" W x 51.2"" H","101.7""",P255/35YR19,"42.9""","39.1""",Null,"3,826 lbs",Null,20 city/28 hwy,"6-cyl, Turbo Gas, 3.0L",Rear Wheel Drive,Automatic,Blue/Black,None,2']
93,2021 Mazda MX-5 Miata RF Club,"$29,998*",15K miles,2 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 49"" H","90.9""",P205/45WR17,"43.1""","36.8""",Null,"2,496 lbs",Null,26 city/35 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
94,2013 Chevrolet Camaro ZL1,"$42,998*",18K miles,10 year(s),,Null,2 Service Record(s) Reported,556 torque@4200rpm,580 horsepower@6000rpm,19.0 gal,"190.40"" L x 75.50"" W x 54.20"" H","112.30""",P285/35ZR20,"42.40""","37.40""",Null,"4,120 lbs",Null,14 city/19 hwy,"8-cyl, Supercharged Gas, 6.2L",Rear Wheel Drive,Manual 6 Speed,Black/Black,None,2']
95,2018 Dodge Challenger R/T Plus Shaker,"$32,998*",54K miles,5 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Red/Black,None,2']
96,2020 Dodge Challenger SXT,"$25,998*",47K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Red/Black,None,2']
97,2018 Chevrolet Corvette Stingray,"$48,998*",48K miles,5 year(s),No Accidents or Damage Reported,Null,,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.9"" L x 73.9"" W x 48.8"" H","106.7""",P245/35ZR19,"43""","37.9""",Null,"3,298 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Blue/Black,None,2']
98,2016 Jaguar F-Type S,"$37,998*",39K miles,7 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,339 torque@3500rpm,380 horsepower@6500rpm,18.5 gal,"176"" L x 75.7"" W x 51.5"" H","103.2""",P245/40YR19,"43""","37""",Null,"3,735 lbs",Null,18 city/26 hwy,"6-cyl, Supercharged Gas, 3.0L",All Wheel Drive,Automatic,Gray/Black,None,2']
99,2015 Mercedes-Benz SLK250,"$27,998*",43K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,229 torque@2000rpm,201 horsepower@5500rpm,18.5 gal,"162.8"" L x 71.5"" W x 51.2"" H","95.7""",P225/45YR17,"42.5""","39.1""",Null,"3,241 lbs",Null,22 city/32 hwy,"4-cyl, Turbo Gas, 1.8L",Rear Wheel Drive,Automatic,Black/Burgundy,None,2']
100,2016 Scion FR-S,"$24,998*",22K miles,7 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,151 torque@6400rpm,200 horsepower@7000rpm,13.2 gal,"166.7"" L x 69.9"" W x 50.6"" H","101.2""",P215/45WR17,"41.9""","37.1""",Null,"2,758 lbs",Null,22 city/30 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
101,2017 Jaguar XE Premium,"$22,998*",58K miles,6 year(s),No Accidents or Damage Reported,Null,,318 torque@1750rpm,180 horsepower@4000rpm,14.8 gal,"183.9"" L x 72.8"" W x 55.7"" H","111.6""",P225/55HR17,"""","""",Null,"3,560 lbs",Null,30 city/40 hwy,"4-cyl, Turbo Diesel, 2.0L",All Wheel Drive,Automatic,Silver/Gray,None,2']
102,2018 Chevrolet Camaro SS,"$37,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.30"" L x 74.70"" W x 53.10"" H","110.70""",P245/40ZR20,"43.90""","38.50""",Null,"3,685 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Black/Black,None,2']
103,2018 Genesis G80,"$30,998*",28K miles,5 year(s),No Accidents or Damage Reported,Null,,293 torque@5000rpm,311 horsepower@6000rpm,20.3 gal,"196.5"" L x 74.4"" W x 58.3"" H","118.5""",P245/45VR18,"45.7""","41.1""",Null,"4,195 lbs",Null,19 city/27 hwy,"6-cyl, Gas, 3.8L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
104,2018 Dodge Challenger GT,"$26,998*",55K miles,5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR19,"42""","39.3""",Null,"4,108 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Gray/Black,None,2']
105,2020 Dodge Challenger SXT,"$26,998*",43K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
106,2020 Chevrolet Camaro LT,"$28,998*",45K miles,3 year(s),,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,627 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Black/Black,None,2']
107,2019 Mazda MX-5 Miata RF Grand Touring,"$26,998*",42K miles,4 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 49"" H","90.9""",P205/45WR17,"43.1""","36.8""",Null,"2,493 lbs",Null,26 city/35 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Black,None,2']
108,2016 Chevrolet Camaro LT,"$26,998*",19K miles,7 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/30 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Blue/Black,None,2']
109,2015 Dodge Dart SXT,"$15,998*",89K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,174 torque@4800rpm,184 horsepower@6250rpm,14.2 gal,"183.9"" L x 72"" W x 57.7"" H","106.4""",P205/55HR16,"42.2""","38.6""",Null,"3,165 lbs",Null,22 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,White/Black,None,2']
110,2021 Ford Mustang Ecoboost Premium,"$29,998*",14K miles,2 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,27 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
111,2018 Dodge Challenger R/T,"$29,998*",40K miles,5 year(s),No Accidents or Damage Reported,Null,,410 torque@4300rpm,375 horsepower@5150rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,190 lbs",Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
112,2020 Dodge Challenger SXT,"$26,998*",44K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,White/Black,None,2']
113,2014 Dodge Dart SXT,"$14,599*",87K miles,9 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,171 torque@4800rpm,184 horsepower@6250rpm,14.2 gal,"183.9"" L x 72"" W x 57.7"" H","106.4""",P205/55HR16,"42.2""","38.6""",Null,"3,186 lbs",Null,22 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Silver/Black,None,2']
114,2015 Ford Mustang Ecoboost,"$21,998*",53K miles,8 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Black/Black,None,2']
115,2017 Dodge Challenger R/T Scat Pack,"$32,998*",56K miles,6 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,232 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
116,2019 Dodge Challenger SXT,"$27,998*",27K miles,4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Silver/Black,None,2']
117,2017 Jaguar XF Prestige,"$25,998*",41K miles,6 year(s),No Accidents or Damage Reported,Null,,332 torque@3500rpm,340 horsepower@6500rpm,19.5 gal,"195.2"" L x 78.2"" W x 57.4"" H","116.5""",P245/40HR19,"41.5""","37.1""",Null,"3,880 lbs",Null,20 city/28 hwy,"6-cyl, Supercharged Gas, 3.0L",All Wheel Drive,Automatic,White/Tan,None,2']
118,2014 Chevrolet Corvette Stingray Z51,"$43,998*",28K miles,9 year(s),,Null,,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.90"" L x 73.90"" W x 48.9"" H","106.70""",P245/35ZR19,"43.00""","37.90""",Null,Null,Null,17 city/29 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Manual 7 Speed,Silver/Black,None,2']
119,2019 Dodge Challenger SXT,"$24,998*",58K miles,4 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,White/Black,None,2']
120,2018 Acura TLX SH-AWD A-Spec,"$29,998*",58K miles,5 year(s),No Accidents or Damage Reported,Null,,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"191.5"" L x 73"" W x 57"" H","109.3""",P245/40VR19,"42.6""","37.2""",Null,"3,765 lbs",Null,20 city/29 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Black/Red,None,2']
121,2016 Ford Mustang,"$19,998*",39K miles,7 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,17 city/28 hwy,"6-cyl, Gas, 3.7L",Rear Wheel Drive,Automatic,Black/Black,None,2']
122,2015 Mercedes-Benz SLK350,"$26,998*",62K miles,8 year(s),No Accidents or Damage Reported,Null,,273 torque@3500rpm,302 horsepower@6500rpm,18.5 gal,"162.8"" L x 71.5"" W x 51.2"" H","95.7""",P225/40YR18,"42.5""","39.1""",Null,"3,417 lbs",Null,21 city/29 hwy,"6-cyl, Gas, 3.5L",Rear Wheel Drive,Automatic,Gray/Brown,None,2']
123,2019 Chevrolet Camaro LT,"$24,998*",53K miles,4 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,16 city/27 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Red/Red,None,2']
124,2020 Dodge Challenger GT,"$27,998*",54K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Purple/Black,None,2']
125,2017 Dodge Challenger 392 Hemi Scat Pack Shaker,"$37,998*",25K miles,6 year(s),,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,232 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
126,2021 Chevrolet Camaro LT1,"$42,998*",11K miles,2 year(s),No Accidents or Damage Reported,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/40R20,"43.9""","38.4""",Null,"3,865 lbs",Null,Null,"8-cyl, Gas, 6.2L",Null,Automatic,Black/Black,None,2']
127,2016 Acura TLX,"$18,998*",76K miles,7 year(s),No Accidents or Damage Reported,Null,,182 torque@4500rpm,206 horsepower@6800rpm,17.2 gal,"190.3"" L x 73"" W x 57"" H","109.3""",P225/55VR17,"42.6""","37.2""",Null,"3,492 lbs",Null,24 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Brown,None,2']
128,2014 Chevrolet Corvette Stingray,"$44,998*",12K miles,9 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.90"" L x 73.90"" W x 48.80"" H","106.70""",P245/40ZR18,"43.00""","37.90""",Null,"3,298 lbs",Null,17 city/29 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Yellow/Black,None,2']
129,2017 Mercedes-Benz SLC300,"$28,998*",53K miles,6 year(s),,Null,14 Service Record(s) Reported,273 torque@1300rpm,241 horsepower@5550rpm,15.9 gal,"162.8"" L x 71.5"" W x 51.3"" H","95.7""",P225/45YR17,"42.5""","38""",Null,"3,296 lbs",Null,25 city/32 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Tan,None,2']
130,2020 Chevrolet Camaro LT,"$25,998*",43K miles,3 year(s),,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,627 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Gray/Black,None,2']
131,2018 Dodge Challenger R/T Scat Pack,"$37,998*",22K miles,5 year(s),No Accidents or Damage Reported,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,232 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
132,2013 Dodge Dart Limited,"$14,998*",96K miles,10 year(s),No Accidents or Damage Reported,Null,26 Service Record(s) Reported,148 torque@4600rpm,160 horsepower@6400rpm,15.800 gal,"183.900"" L x 72.000"" W x 57.700"" H","106.400""",225/45R17,"42.200""","38.600""",Null,"3,186 lbs",Null,25 city/36 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Black/Black,None,2']
133,2019 Ford Mustang Ecoboost,"$25,998*",21K miles,4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Black/Black,None,2']
134,2014 Smart Fortwo Passion,"$9,599*",84K miles,9 year(s),No Accidents or Damage Reported,Null,,68 torque@4500rpm,70 horsepower@5800rpm,8.7 gal,"106.1"" L x 61.4"" W x 60.7"" H","73.5""",P155/60TR15,"41.2""","39.7""",Null,"1,808 lbs",Null,34 city/38 hwy,"3-cyl, Gas, 1.0L",Rear Wheel Drive,Automatic,White/Black,None,2']
135,2013 Dodge Challenger R/T,"$25,998*",39K miles,10 year(s),,Null,3 Service Record(s) Reported,400 torque@4400rpm,372 horsepower@5200rpm,19.500 gal,"197.700"" L x 75.700"" W x 57.100"" H","116.000""",P245/45ZR20,"42.000""","39.300""",Null,"4,041 lbs",Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Null,Automatic,Black/Black,None,2']
136,2016 Ford Mustang Ecoboost,"$19,998*",81K miles,7 year(s),,Null,4 Service Record(s) Reported,320 torque@2500rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Black/Black,None,2']
137,2016 Ford Mustang GT,"$28,998*",49K miles,7 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/25 hwy,"8-cyl, Gas, 5.0L",Null,Manual 6 Speed,Black/Black,None,2']
138,2015 Chevrolet Camaro SS,"$25,998*",85K miles,8 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,420 torque@4600rpm,426 horsepower@5900rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/45R20,"42.40""","37.40""",Null,"3,908 lbs",Null,16 city/24 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Black/Black,None,2']
139,2020 Ford Mustang Ecoboost,"$22,998*",74K miles,3 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55WR17,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/30 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
