ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
2 year(s),,Null,,2021 Toyota Corolla LE,"$19,998*",55K miles,126 torque@3900rpm,139 horsepower@6100rpm,13.2 gal,"182.3"" L x 70.1"" W x 56.5"" H","106.3""",P205/55HR16,"42""","38.3""",Null,"2,955 lbs",Null,Null,"4-cyl, Gas, 1.8L",Front Wheel Drive,Automatic,Black/Black,,2']
4 year(s),,Null,,2019 Volkswagen Arteon SEL,"$26,998*",32K miles,258 torque@1950rpm,268 horsepower@5500rpm,17.4 gal,"191.4"" L x 73.7"" W x 56.5"" H","111.9""",P245/45HR18,"41.2""","37.7""",Null,"3,854 lbs",Null,20 city/27 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
5 year(s),Multiple Damage Events,Null,2 Service Record(s) Reported,2018 BMW 330 I,"$23,998*",46K miles,258 torque@1450rpm,248 horsepower@5200rpm,15.8 gal,"182.5"" L x 71.3"" W x 56.3"" H","110.6""",P225/50VR17,"42""","40.3""",Null,"3,410 lbs",Null,24 city/34 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Red/Gray,,2']
6 year(s),,Null,,2017 Hyundai Sonata Sport,"$18,998*",79K miles,178 torque@4000rpm,185 horsepower@6000rpm,18.5 gal,"191.1"" L x 73.4"" W x 58.1"" H","110.4""",P215/55VR17,"45.5""","40.4""",Null,"3,311 lbs",Null,25 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,,2']
4 year(s),,Null,,2019 Acura TLX,"$28,998*",26K miles,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"191.5"" L x 73"" W x 57"" H","109.3""",P245/40VR19,"42.6""","37.2""",Null,"3,765 lbs",Null,20 city/29 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Honda Accord Hybrid Sport-L,"$34,998*",11K miles,134 torque@4500rpm,204 horsepower@6100rpm,12.8 gal,"195.7"" L x 73.3"" W x 57.1"" H","111.4""",P235/40VR19,"42.3""","37.5""",Null,"3,488 lbs",Null,46 city/41 hwy,"4-cyl, Hybrid, 2.0L",Front Wheel Drive,Automatic,Gray/Black,,2']
7 year(s),,Null,,2016 Buick LaCrosse 1SB,"$22,998*",16K miles,264 torque@5300rpm,304 horsepower@6800rpm,18.5 gal,"196.9"" L x 73.1"" W x 59.2"" H","111.7""",P235/50R18,"41.7""","38.0""",Null,"3,895 lbs",Null,18 city/28 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Gold/Tan,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Volkswagen Jetta S,"$19,998*",26K miles,184 torque@1400rpm,147 horsepower@5000rpm,13.2 gal,"185.1"" L x 70.8"" W x 57.4"" H","105.7""",P205/60HR16,"41.1""","38.5""",Null,"2,888 lbs",Null,30 city/40 hwy,"4-cyl, Turbo Gas, 1.4L",Front Wheel Drive,Manual 6 Speed,Silver/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Honda Civic Sport,"$29,998*",3K miles,138 torque@4200rpm,158 horsepower@6500rpm,12.4 gal,"183.3"" L x 70.9"" W x 55.7"" H","107.7""",P235/40WR18,"42.3""","39.3""",Null,"2,935 lbs",Null,Null,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Red/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Mercedes-Benz C300,"$24,998*",47K miles,273 torque@1800rpm,255 horsepower@5800rpm,17.4 gal,"184.5"" L x 71.3"" W x 56.8"" H","111.8""",P225/50HR17,"41.7""","37.1""",Null,"3,472 lbs",Null,23 city/34 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,White/Tan,,2']
5 year(s),,Null,1 Service Record(s) Reported,2018 Chevrolet Impala LT,"$26,998*",22K miles,264 torque@5200rpm,305 horsepower@6800rpm,18.5 gal,"201.30"" L x 73.00"" W x 58.90"" H","111.70""",P235/50R18,"45.80""","39.90""",Null,Null,Null,28 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Blue/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2018 Toyota Corolla LE,"$19,998*",36K miles,128 torque@4400rpm,132 horsepower@6000rpm,13.2 gal,"183.1"" L x 69.9"" W x 57.3"" H","106.3""",P205/55HR16,"42.3""","38.3""",Null,"2,870 lbs",Null,28 city/36 hwy,"4-cyl, Gas, 1.8L",Front Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),,Null,,2019 Hyundai Elantra SE,"$18,998*",43K miles,132 torque@4500rpm,147 horsepower@6200rpm,14 gal,"181.9"" L x 70.9"" W x 56.5"" H","106.3""",P195/65TR15,"42.2""","40.3""",Null,"2,844 lbs",Null,29 city/38 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Kia Forte LXS,"$19,998*",16K miles,132 torque@4500rpm,147 horsepower@6200rpm,14 gal,"182.7"" L x 70.9"" W x 56.5"" H","106.3""",P205/55HR16,"42.2""","38.8""",Null,"2,908 lbs",Null,29 city/39 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Black/Black,,2']
9 year(s),,Null,,2014 Kia Optima LX,"$13,998*",123K miles,181 torque@4250rpm,192 horsepower@6300rpm,18.5 gal,"190.7"" L x 72.1"" W x 57.1"" H","110""",P205/65HR16,"45.5""","40""",Null,"3,237 lbs",Null,23 city/34 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Silver/Gray,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Sentra SR,"$23,998*",19K miles,146 torque@4400rpm,149 horsepower@6400rpm,12.4 gal,"182.7"" L x 71.5"" W x 57"" H","106.8""",P215/45WR18,"44""","38.9""",Null,"3,084 lbs",Null,Null,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Red/Black,,2']
5 year(s),,Null,,2018 Hyundai Elantra SE,"$17,998*",18K miles,132 torque@4500rpm,147 horsepower@6200rpm,14 gal,"179.9"" L x 70.9"" W x 56.5"" H","106.3""",P195/65TR15,"42.2""","38.8""",Null,"2,811 lbs",Null,29 city/38 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Black/Gray,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Kia Forte LX,"$12,998*",76K miles,130 torque@4700rpm,145 horsepower@6500rpm,13.2 gal,"179.5"" L x 70.1"" W x 56.3"" H","106.3""",P195/65HR15,"42.2""","39.1""",Null,"2,804 lbs",Null,25 city/37 hwy,"4-cyl, Gas, 1.8L",Front Wheel Drive,Manual 6 Speed,Silver/Gray,,2']
10 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2013 Hyundai Sonata Limited,"$14,599*",118K miles,179 torque@4250rpm,190 horsepower@6300rpm,18.5 gal,"189.8"" L x 72.2"" W x 57.9"" H","110.0""",P215/55R17,"45.5""","38.1""",Null,"3,316 lbs",Null,24 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Blue/Tan,,2']
10 year(s),No Accidents or Damage Reported,Null,,2013 Mazda Mazda3 I SV,"$12,998*",113K miles,135 torque@4500rpm,148 horsepower@6500rpm,14.5 gal,"180.9"" L x 69.1"" W x 57.9"" H","103.9""",P205/55HR16,"42.0""","38.9""",Null,"2,929 lbs",Null,24 city/33 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Silver/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,14 Service Record(s) Reported,2015 BMW 328 XI,"$18,998*",83K miles,255 torque@1250rpm,240 horsepower@5000rpm,15.8 gal,"182.5"" L x 71.3"" W x 56.5"" H","110.6""",P225/50VR17,"42""","40.3""",Null,"3,595 lbs",Null,22 city/33 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Black,,2']
