,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
148,2017 Kia Sorento LX,18998,53 ,6,No Accidents or Damage Reported,0,9,18.8,109.4,44.1,39.5,38.8 cu ft,3840,"2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,White,Black,445.0
149,2021 Nissan Kicks S,20998,39 ,2,No Accidents or Damage Reported,0,0,10.8,103.1,43.7,40.4,25.3 cu ft,2691,Null,Front Wheel Drive,Automatic,114,4000,169.1,69.3,62.4,31,36,4, Gas,1.6,White,Black,285.0
150,2018 Hyundai Santa Fe Sport,17998,87 ,5,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4 cu ft,3794,"1,650/1,650 lbs",All Wheel Drive,Automatic,178,4000,185.0,74.0,66.1,20,26,4, Gas,2.4,Silver,Gray,445.0
151,2020 BMW X5 xDrive40i,49998,41 ,3,No Accidents or Damage Reported,0,1,21.9,117.1,39.8,40.8,33.9 cu ft,4991,"6,603/6,603 lbs",All Wheel Drive,Automatic,330,1500,194.3,78.9,68.7,20,26,6, Turbo Gas,3.0,White,Brown,2200.0
152,2016 Jeep Patriot High Altitude,18998,52 ,7,No Accidents or Damage Reported,0,4,13.5,103.7,40.6,41.0,23 cu ft,3331,"1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,173.8,69.2,66.8,20,26,4, Gas,2.4,White,Black,375.0
153,2017 BMW X5 M,49998,57 ,6,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,35.8 cu ft,5260,"5,952/5,952 lbs",All Wheel Drive,Automatic,553,2200,192.1,75.0,69.1,14,19,8, Turbo Gas,4.4,Black,Black,2513.6
154,2014 Kia Sorento SX,18998,86 ,9,No Accidents or Damage Reported,0,30,17.4,106.3,41.3,39.2,36.9 cu ft,3894,"3,500/3,500 lbs",All Wheel Drive,Automatic,252,5200,184.6,74.2,66.9,18,24,6, Gas,3.3,Black,Black,484.6
155,2019 BMW X3 XDrive30i,31998,41 ,4,No Accidents or Damage Reported,0,1,17.2,112.8,40.3,41.1,28.7 cu ft,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
156,2020 BMW X3 XDrive30i,30998,45 ,3,No Accidents or Damage Reported,0,0,17.2,112.8,40.3,41.1,28.7 cu ft,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,24,29,4, Turbo Gas,2.0,Black,Black,1779.3
157,2017 Ford Edge SEL,19998,69 ,6,No Accidents or Damage Reported,0,0,18.0,112.2,42.6,40.2,39.2 cu ft,3927,"1,500/1,500 lbs",Front Wheel Drive,Automatic,275,3000,188.1,75.9,68.6,20,29,4, Turbo Gas,2.0,Black,Tan,916.7
158,2014 Hyundai Santa Fe Sport 2.0T,19998,63 ,9,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4 cu ft,3706,"3,500/3,500 lbs",All Wheel Drive,Automatic,269,1750,184.6,74.0,66.1,18,24,4, Turbo Gas,2.0,White,Black,1537.1
159,2020 Hyundai Kona Limited,24998,24 ,3,No Accidents or Damage Reported,0,0,13.2,102.4,41.5,38.0,19.2 cu ft,3256,Null,All Wheel Drive,Automatic,195,1500,164.0,70.9,61.6,26,29,4, Turbo Gas,1.6,White,Black,1300.0
160,2019 Audi Q7 Prestige,38998,49 ,4,No Accidents or Damage Reported,0,0,22.5,117.9,41.7,39.9,14.2 cu ft,4729,Null,All Wheel Drive,Automatic,325,2900,199.6,77.5,68.5,19,25,6, Supercharged Gas,3.0,Gray,Black,1120.7
161,2020 Chevrolet Trax LS,17998,60 ,3,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0,3124,Null,Front Wheel Drive,Automatic,148,1850,167.2,69.9,64.9,26,31,4, Turbo Gas,1.4,Black,Black,800.0
162,2018 Nissan Rogue SL,17998,112 ,5,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3541,"1,102/1,102 lbs",Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Black,Black,397.7
163,2019 Buick Enclave Premium,35998,21 ,4,No Accidents or Damage Reported,0,0,22.0,120.9,41.2,42.6,23.6 cu ft,4614,Null,All Wheel Drive,Automatic,266,2800,204.3,78.8,69.9,17,25,6, Gas,3.6,Black,Gray,950.0
164,2018 Mazda CX-9 Touring,26998,46 ,5,No Accidents or Damage Reported,0,1,19.5,115.3,41.0,39.3,14.4 cu ft,4361,"3,500/3,500 lbs",All Wheel Drive,Automatic,310,2000,199.4,77.5,67.6,20,26,4, Turbo Gas,2.5,Silver,Black,1550.0
165,2017 GMC Acadia SLT,22998,73 ,6,No Accidents or Damage Reported,0,0,19.0,112.5,41.0,40.3,12.8 cu ft,3956,Null,Front Wheel Drive,Automatic,271,5000,193.6,75.4,66.0,18,25,6, Gas,3.6,Gray,Black,542.0
166,2016 Toyota RAV4 LE,19998,94 ,7,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,39.8,38.4 cu ft,3455,"1,500/1,500 lbs",Front Wheel Drive,Automatic,172,4100,181.1,72.6,65.5,23,30,4, Gas,2.5,White,Black,419.5
167,2019 Hyundai Kona SE,18998,59 ,4,No Accidents or Damage Reported,0,1,13.2,102.4,41.5,39.6,19.2 cu ft,2890,Null,Front Wheel Drive,Automatic,132,4500,164.0,70.9,61.0,27,33,4, Gas,2.0,Blue,Black,293.3
168,2016 Honda Pilot EX-L,23998,97 ,7,No Accidents or Damage Reported,0,3,19.5,111.0,40.9,39.5,16.5 cu ft,4288,Null,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,White,Tan,557.4
170,2019 Ford Edge ST,29998,46 ,4,No Accidents or Damage Reported,0,4,18.5,112.2,42.6,40.2,39.2 cu ft,4477,"3,500/3,500 lbs",All Wheel Drive,Automatic,380,3250,188.8,75.9,68.3,19,26,6, Turbo Gas,2.7,White,Black,1169.2
171,2020 BMW X5 xDrive40i,37998,47 ,3,No Accidents or Damage Reported,0,0,21.9,117.1,39.8,40.8,33.9 cu ft,4991,"6,603/6,603 lbs",All Wheel Drive,Automatic,330,1500,194.3,78.9,68.7,20,26,6, Turbo Gas,3.0,Blue,Black,2200.0
173,2018 Toyota Highlander XLE,32998,45 ,5,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,39.5,13.8 cu ft,4590,"5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,26,6, Gas,3.5,Gray,Gray,559.6
174,2019 Subaru Crosstrek Premium,23998,55 ,4,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,20.8 cu ft,3186,"1,500/1,500 lbs",All Wheel Drive,Automatic,145,4000,175.8,71.0,63.6,27,33,4, Gas,2.0,Silver,Black,362.5
175,2014 Buick Encore Premium,18998,58 ,9,No Accidents or Damage Reported,0,4,14.0,100.6,40.8,39.6,0,3309,Null,All Wheel Drive,Automatic,148,1850,168.4,69.9,65.2,23,30,4, Turbo Gas,1.4,Pearl,Gray,800.0
176,2019 Nissan Rogue Sport S,21998,50 ,4,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,22.9 cu ft,3377,Null,All Wheel Drive,Automatic,147,4400,172.4,72.3,63.3,24,30,4, Gas,2.0,Silver,Black,334.1
178,2018 Honda CR-V EX,22998,94 ,5,No Accidents or Damage Reported,0,1,14.0,104.7,41.3,38.0,39.2 cu ft,3473,Null,All Wheel Drive,Automatic,179,2000,180.6,73.0,66.5,27,33,4, Turbo Gas,1.5,Silver,Black,895.0
179,2019 Toyota C-HR XLE,25998,22 ,4,No Accidents or Damage Reported,0,0,13.2,103.9,43.5,38.1,19 cu ft,3300,Null,Front Wheel Drive,Automatic,139,3900,171.2,70.7,61.6,27,31,4, Gas,2.0,Red,Black,356.4
180,2020 Toyota Highlander XLE,37998,31 ,3,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16 cu ft,4370,"5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,20,27,6, Gas,3.5,Blue,Gray,559.6
181,2016 Toyota RAV4 SE,20998,104 ,7,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,38.9,38.4 cu ft,3630,"1,500/1,500 lbs",All Wheel Drive,Automatic,172,4100,181.1,72.6,65.5,22,29,4, Gas,2.5,Black,Black,419.5
182,2016 GMC Terrain Denali,19998,95 ,7,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,0,4068,Null,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,29,4, Gas,2.4,Red,Gray,351.0
