Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
37,2018 Ford Mustang Ecoboost Premium,"$24,998*",32K miles,5 year(s),,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Red,Black,1166.6666666666667
38,2014 Ford Mustang,"$18,998*",60K miles,9 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,16 gal,"107.1""","42.4""","38.8""",Null,"3,630 lbs",Null,Rear Wheel Drive,Automatic,280,4250,"188.5"" L "," 73.9"" W "," 55.8"" H",19 city,29 hwy,6-cyl, Gas, 3.7L,Gray,Black,658.8235294117648
39,2018 Dodge Challenger R/T,"$30,998*",28K miles,5 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,190 lbs",Null,Rear Wheel Drive,Manual 6 Speed,410,4300,"197.9"" L "," 75.7"" W "," 57.5"" H",15 city,23 hwy,8-cyl, Gas, 5.7L,Silver,Black,953.4883720930233
40,2018 Honda Civic SI,"$28,998*",9K miles,5 year(s),No Accidents or Damage Reported,Null,,12.4 gal,"106.3""","42.3""","36.5""",Null,"2,889 lbs",Null,Front Wheel Drive,Manual 6 Speed,192,2100,"177.3"" L "," 70.9"" W "," 54.7"" H",28 city,38 hwy,4-cyl, Turbo Gas, 1.5L,Green,Black,914.2857142857143
41,2022 Dodge Challenger SXT,"$29,998*",25K miles,1 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"3,841 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.7"" H",Null,Null,6-cyl, Gas, 3.6L,Gray,Black,558.3333333333334
42,2023 Ford Mustang Mach 1,"$58,998*",4K miles,Current Year,No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,868 lbs",Null,Null,Automatic,410,4800,"188.3"" L "," 75.4"" W "," 54.4"" H",Null,Null,8-cyl, Gas, 5.0L,Gray,Black,854.1666666666666
43,2022 Ford Mustang Ecoboost Premium,"$26,998*",46K miles,1 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",29 hwy,,4-cyl, Turbo Gas, 2.3L,White,Black,1166.6666666666667
44,2022 Dodge Challenger R/T,"$32,998*",33K miles,1 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,157 lbs",Null,Null,Automatic,410,4300,"197.9"" L "," 75.7"" W "," 57.7"" H",Null,Null,8-cyl, Gas, 5.7L,Red,Black,953.4883720930233
46,2024 Mini Cooper,"$34,998*",4K miles,Current Year,No Accidents or Damage Reported,Null,,11.6 gal,"98.2""","41.4""","40.3""",Null,"2,892 lbs",Null,Null,Automatic,162,1480,"152.2"" L "," 68"" W "," 55.7"" H",Null,Null,3-cyl, Turbo Gas, 1.5L,Green,Black,1094.5945945945946
47,2017 Honda Civic LX-P,"$20,998*",51K miles,6 year(s),,Null,2 Service Record(s) Reported,12.4 gal,"106.3""","42.3""","36.5""",Null,"2,775 lbs",Null,Front Wheel Drive,Automatic,138,4200,"176.9"" L "," 70.8"" W "," 54.9"" H",30 city,39 hwy,4-cyl, Gas, 2.0L,Black,Tan,328.57142857142856
