Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
36,2023 Ford Mustang Mach 1,"$58,998*",4K miles,Current Year,No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,868 lbs",Null,Null,Automatic,410,4800,"188.3"" L "," 75.4"" W "," 54.4"" H",Null,Null,8-cyl, Gas, 5.0L,Gray,Black,854.1666666666666
37,2014 Porsche Panamera 4,"$35,998*",54K miles,9 year(s),,Null,,21.1 gal,"115""","41.9""","38""",Null,"4,012 lbs",Null,All Wheel Drive,Automatic,295,3750,"197.4"" L "," 76"" W "," 55.8"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Silver,Brown,786.6666666666666
38,2015 Volkswagen GTI SE,"$20,998*",62K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,13.2 gal,"103.6""","41.2""","38.4""",Null,"2,972 lbs",Null,Front Wheel Drive,Manual 6 Speed,258,1500,"168"" L "," 70.5"" W "," 56.8"" H",25 city,34 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1719.9999999999998
39,2018 Acura TLX SH-AWD A-Spec,"$29,998*",44K miles,5 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,17.2 gal,"109.3""","42.6""","37.2""",Null,"3,765 lbs",Null,All Wheel Drive,Automatic,267,4500,"191.5"" L "," 73"" W "," 57"" H",20 city,29 hwy,6-cyl, Gas, 3.5L,Black,Tan,593.3333333333334
40,2015 Acura TLX,"$18,998*",93K miles,8 year(s),,Null,,17.2 gal,"109.3""","42.6""","37.2""",Null,"3,492 lbs",Null,Front Wheel Drive,Automatic,182,4500,"190.3"" L "," 73"" W "," 57"" H",24 city,35 hwy,4-cyl, Gas, 2.4L,Black,Maroon,404.4444444444444
41,2020 Dodge Challenger R/T Scat Pack,"$43,998*",12K miles,3 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,230 lbs",Null,Rear Wheel Drive,Manual 6 Speed,475,4100,"197.9"" L "," 75.7"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Purple,Black,1158.5365853658536
42,2020 Dodge Challenger SXT,"$26,998*",33K miles,3 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,057 lbs",Null,All Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.5"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Burgundy,Black,558.3333333333334
43,2013 BMW M3,"$35,998*",45K miles,10 year(s),,Null,8 Service Record(s) Reported,16.6 gal,"108.7""","41.8""","38.0""",Null,"4,145 lbs",Null,Null,Automatic,295,3900,"181.7"" L "," 71.0"" W "," 54.8"" H",13 city,20 hwy,8-cyl, Gas, 4.0L,Red,Black,756.4102564102564
44,2020 Ford Mustang Shelby GT350,"$65,998*",9K miles,3 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,760 lbs",Null,Rear Wheel Drive,Manual 6 Speed,429,4750,"188.9"" L "," 75.9"" W "," 54.2"" H",14 city,21 hwy,8-cyl, Gas, 5.2L,Blue,Black,903.1578947368421
45,2018 Ford Mustang Ecoboost Premium,"$22,998*",85K miles,5 year(s),,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Gray,Black,1166.6666666666667
46,2018 Genesis G80,"$30,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,,20.3 gal,"118.5""","45.7""","41.1""",Null,"4,195 lbs",Null,Rear Wheel Drive,Automatic,293,5000,"196.5"" L "," 74.4"" W "," 58.3"" H",19 city,27 hwy,6-cyl, Gas, 3.8L,Black,Black,586.0
47,2014 Hyundai Genesis,"$21,998*",28K miles,9 year(s),,Null,,17.2 gal,"111""","44.1""","39.2""",Null,"3,495 lbs",Null,Rear Wheel Drive,Automatic,275,2000,"182.3"" L "," 73.4"" W "," 54.5"" H",17 city,27 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1375.0
48,2023 Ford Mustang Mach 1,"$56,998*",2K miles,Current Year,No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,868 lbs",Null,Rear Wheel Drive,Manual 6 Speed,410,4800,"188.3"" L "," 75.4"" W "," 54.4"" H",Null,Null,8-cyl, Gas, 5.0L,Gray,Black,854.1666666666666
49,2016 Acura TLX,"$21,998*",55K miles,7 year(s),No Accidents or Damage Reported,Null,,17.2 gal,"109.3""","42.6""","37.2""",Null,"3,620 lbs",Null,Front Wheel Drive,Automatic,267,4500,"190.3"" L "," 73"" W "," 57"" H",21 city,34 hwy,6-cyl, Gas, 3.5L,Gray,Gray,593.3333333333334
50,2015 BMW M4,"$35,998*",74K miles,8 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","40.4""",Null,"4,055 lbs",Null,Rear Wheel Drive,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.6"" H",17 city,26 hwy,6-cyl, Turbo Gas, 3.0L,Silver,Gray,2194.5945945945946
51,2014 Ford Mustang Shelby GT500,"$55,998*",25K miles,9 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","42.4""","38.5""",Null,"3,845 lbs",Null,Rear Wheel Drive,Manual 6 Speed,631,4000,"189.4"" L "," 73.9"" W "," 55.4"" H",15 city,24 hwy,8-cyl, Supercharged Gas, 5.8L,White,Black,1577.5
52,2015 Acura TLX,"$16,998*",123K miles,8 year(s),,Null,3 Service Record(s) Reported,17.2 gal,"109.3""","42.6""","37.2""",Null,"3,620 lbs",Null,Front Wheel Drive,Automatic,267,4500,"190.3"" L "," 73"" W "," 57"" H",21 city,34 hwy,6-cyl, Gas, 3.5L,Gray,Black,593.3333333333334
