ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
8 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2015 Nissan Pathfinder S,"$17,998*",85K miles,19.5 gal,"114.2""","42.3""","42.2""",16 cu ft,"4,309 lbs","5,000/5,000 lbs",Four Wheel Drive,Automatic,240,4400,"197.2"" L "," 77.2"" W "," 69.6"" H",19 city,26 hwy,6-cyl, Gas, 3.5L,Black,Black,545.4545454545454
1 year(s),No Accidents or Damage Reported,Null,,2022 BMW X4 XDrive30i,"$45,998*",34K miles,17.2 gal,"112.8""","40.7""","39.5""",18.5 cu ft,"4,178 lbs",Null,All Wheel Drive,Automatic,258,1450,"187.6"" L "," 75.5"" W "," 63.8"" H",28 hwy,,4-cyl, Turbo Gas, 2.0L,Black,Black,1779.3103448275863
6 year(s),,Null,2 Service Record(s) Reported,2017 Kia Soul,"$15,998*",70K miles,14.2 gal,"101.2""","40.9""","39.6""",Null,"2,942 lbs",Null,Front Wheel Drive,Automatic,118,4850,"163"" L "," 70.9"" W "," 63.5"" H",25 city,30 hwy,4-cyl, Gas, 1.6L,Gray,Black,243.29896907216497
1 year(s),No Accidents or Damage Reported,Null,,2022 Audi Q3 S-Line Premium,"$36,998*",7K miles,15.9 gal,"105.5""","40""","39.6""",23.7 cu ft,"3,916 lbs",Null,All Wheel Drive,Automatic,258,4100,"176.6"" L "," 72.8"" W "," 62.9"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,Black,Brown,629.2682926829268
6 year(s),,Null,1 Service Record(s) Reported,2017 Honda Pilot EX-L,"$21,998*",117K miles,19.5 gal,"111""","40.9""","39.5""",16.5 cu ft,"4,288 lbs",Null,All Wheel Drive,Automatic,262,4700,"194.5"" L "," 78.6"" W "," 69.8"" H",18 city,26 hwy,6-cyl, Gas, 3.5L,Silver,Gray,557.4468085106383
7 year(s),,Null,4 Service Record(s) Reported,2016 Lexus NX 200t,"$27,998*",40K miles,15.9 gal,"104.7""","42.8""","38.2""",17.7 cu ft,"3,940 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,258,1650,"182.3"" L "," 73.6"" W "," 64.8"" H",22 city,28 hwy,4-cyl, Turbo Gas, 2.0L,White,Tan,1563.6363636363637
4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2019 Kia Sorento LX,"$20,998*",58K miles,18.8 gal,"109.4""","44.1""","39.5""",11.3 cu ft,"3,810 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,178,4000,"189"" L "," 74.4"" W "," 66.3"" H",22 city,29 hwy,4-cyl, Gas, 2.4L,Blue,Black,445.0
5 year(s),No Accidents or Damage Reported,Null,,2018 Jeep Wrangler Unlimited Sahara,"$27,998*",69K miles,22.5 gal,"116""","41""","41.3""",31.5 cu ft,"4,397 lbs","2,000/2,000 lbs",Null,Automatic,260,4800,"184.9"" L "," 73.7"" W "," 72.6"" H",16 city,21 hwy,6-cyl, Gas, 3.6L,Silver,Black,541.6666666666666
8 year(s),No Accidents or Damage Reported,Null,,2015 Chevrolet Equinox LTZ,"$17,998*",74K miles,18.8 gal,"112.50""","41.20""","40.90""",Null,"3,829 lbs",Null,Front Wheel Drive,Automatic,172,4900,"187.80"" L "," 72.50"" W "," 66.30"" H",22 city,32 hwy,4-cyl, Gas, 2.4L,Black,Black,351.0204081632653
6 year(s),No Accidents or Damage Reported,Null,13 Service Record(s) Reported,2017 GMC Yukon Denali,"$38,998*",86K miles,26.0 gal,"116.0""","45.3""","42.8""",15.3 cu ft,"5,482 lbs",Null,Rear Wheel Drive,Automatic,460,4100,"203.9"" L "," 80.5"" W "," 74.4"" H",15 city,22 hwy,8-cyl, Gas, 6.2L,Black,Cream,1121.9512195121952
