,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
145,3,No Accidents or Damage Reported,0,0,2020 Acura ILX Premium A-Spec,25998,42,180,105.1,42.3,38.0,Null,3144,Null,Front Wheel Drive,Automatic,180,3600,182.2,70.6,55.6,24,34,4, Gas,2.4,Gray,Black,500.0
146,3,No Accidents or Damage Reported,0,0,2020 Genesis G70,33998,26,376,111.6,42.6,38.5,Null,3774,Null,Rear Wheel Drive,Automatic,376,1300,184.4,72.8,55.1,17,26,6, Turbo Gas,3.3,Red,Black,2892.3
147,5,No Accidents or Damage Reported,0,9,2018 Honda Accord Sport,26998,69,273,111.4,42.3,37.5,Null,3377,Null,Front Wheel Drive,Automatic,273,1500,192.2,73.3,57.1,22,32,4, Turbo Gas,2.0,Black,Black,1820.0
148,3,No Accidents or Damage Reported,0,0,2020 Hyundai Accent SE,18998,34,113,101.6,42.1,38.9,Null,2679,Null,Front Wheel Drive,Automatic,113,4500,172.6,68.1,57.1,33,41,4, Gas,1.6,Blue,Black,251.1
149,1,No Accidents or Damage Reported,0,0,2022 Honda Accord EX-L,31998,4,192,111.4,42.3,37.5,Null,3221,Null,Front Wheel Drive,Automatic,192,1600,196.1,73.3,57.1,30,38,4, Turbo Gas,1.5,White,Black,1200.0
150,3,No Accidents or Damage Reported,0,0,2020 Hyundai Sonata SEL,23998,33,181,110.4,46.1,40.0,Null,3192,Null,Front Wheel Drive,Automatic,181,4000,192.9,73.2,56.9,27,37,4, Gas,2.5,Gray,Gray,452.5
151,3,No Accidents or Damage Reported,0,0,2020 Kia Rio LX,18998,19,112,101.6,42.1,38.9,Null,2767,Null,Front Wheel Drive,Automatic,112,4500,172.6,67.9,57.1,33,41,4, Gas,1.6,Black,Black,248.9
152,4,No Accidents or Damage Reported,0,0,2019 Nissan Sentra SR,19998,29,125,106.3,42.5,39.4,Null,2904,Null,Front Wheel Drive,Automatic,125,3600,182.5,69.3,58.9,29,37,4, Gas,1.8,Gray,Black,347.2
153,8,No Accidents or Damage Reported,0,0,2015 Nissan Sentra SV,15998,81,128,106.3,42.5,39.4,Null,2873,Null,Front Wheel Drive,Automatic,128,3600,182.1,69.3,58.9,29,39,4, Gas,1.8,Gray,Black,355.6
154,8,No Accidents or Damage Reported,0,0,2015 Chevrolet Sonic LTZ,12998,110,125,99.4,41.8,38.7,Null,2806,Null,Front Wheel Drive,Automatic,125,3800,173.1,68.3,59.7,27,37,4, Turbo Gas,1.4,Pearl,Black,328.9
155,8,No Accidents or Damage Reported,0,0,2015 Nissan Sentra SV,13599,119,128,106.3,42.5,39.4,Null,2873,Null,Front Wheel Drive,Automatic,128,3600,182.1,69.3,58.9,29,39,4, Gas,1.8,Black,Black,355.6
156,1,No Accidents or Damage Reported,0,0,2022 Hyundai Elantra SEL,22998,24,132,107.1,42.3,40.6,Null,2868,Null,Front Wheel Drive,Automatic,132,4500,184.1,71.9,55.7,31,41,4, Gas,2.0,Black,Gray,293.3
157,2,No Accidents or Damage Reported,0,0,2021 Lexus IS 350 F-Sport,41998,20,280,110.2,44.8,38.2,Null,3748,Null,Rear Wheel Drive,Automatic,280,4800,185.4,72.4,56.5,20,28,6, Gas,3.5,Silver,Black,583.3
158,1,No Accidents or Damage Reported,0,0,2022 Kia Forte GT-Line,22998,34,132,106.3,42.2,38.8,Null,2908,Null,Front Wheel Drive,Automatic,132,4500,182.7,70.9,56.5,29,39,4, Gas,2.0,Blue,Black,293.3
159,4,No Accidents or Damage Reported,0,0,2019 Mitsubishi Mirage G4 ES,13599,99,74,100.4,41.7,38.9,Null,2172,Null,Front Wheel Drive,Automatic,74,4000,169.5,65.7,59.2,35,41,3, Gas,1.2,Blue,Black,185.0
160,4,No Accidents or Damage Reported,0,0,2019 Hyundai Elantra SE,17998,54,132,106.3,42.2,40.3,Null,2844,Null,Front Wheel Drive,Automatic,132,4500,181.9,70.9,56.5,29,38,4, Gas,2.0,Silver,Black,293.3
161,1,No Accidents or Damage Reported,0,0,2022 Honda Accord Hybrid Sport,27998,53,129,111.4,42.3,37.5,Null,3375,Null,Front Wheel Drive,Automatic,129,3500,196.1,73.3,57.1,44,41,4, Hybrid,2.0,Silver,Black,368.6
