,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
127,2016 Toyota RAV4 LE,"$19,998*",97K miles,7,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,39.8,38.4,3570,1500,All Wheel Drive,Automatic,172,4100,181.1,72.6,65.5,22,29,4, Gas,2.5,Gray,Black,419.5
128,2020 Hyundai Tucson SE,"$21,998*",55K miles,3,No Accidents or Damage Reported,0,2,16.4,105.1,41.5,39.6,31.0,3455,1000,All Wheel Drive,Automatic,150,4700,176.4,72.8,64.8,22,25,4, Gas,2.0,White,Black,319.1
129,2017 Nissan Rogue Sport SV,"$20,998*",53K miles,6,No Accidents or Damage Reported,0,4,14.5,104.2,42.8,39.6,22.9,3380,0,All Wheel Drive,Automatic,147,4400,172.4,72.3,63.3,24,30,4, Gas,2.0,Gray,Black,334.1
130,2019 Ford Edge SEL,"$23,998*",62K miles,4,No Accidents or Damage Reported,0,0,18.5,112.2,42.6,40.2,39.2,4124,1500,All Wheel Drive,Automatic,280,3000,188.8,75.9,68.3,21,28,4, Turbo Gas,2.0,Blue,Black,933.3
131,2018 Ford Escape SE,"$19,998*",63K miles,5,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3668,2000,Four Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,22,28,4, Turbo Gas,1.5,Maroon,Gray,708.0
132,2018 Ford Edge SE,"$20,998*",56K miles,5,No Accidents or Damage Reported,0,5,18.0,112.2,42.6,40.2,39.2,4095,1500,All Wheel Drive,Automatic,275,3000,188.1,75.9,68.6,20,27,4, Turbo Gas,2.0,Gray,Black,916.7
133,2019 Nissan Rogue S,"$21,998*",43K miles,4,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3454,1102,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Black,Black,397.7
134,2019 Volkswagen Atlas SE,"$28,998*",59K miles,4,No Accidents or Damage Reported,0,0,18.6,117.3,41.5,41.3,20.6,4502,0,All Wheel Drive,Automatic,266,2750,198.3,78.3,70.0,17,23,6, Gas,3.6,White,Tan,967.3
135,2014 Ford Escape SE,"$14,998*",104K miles,9,No Accidents or Damage Reported,0,1,15.1,105.9,43.1,39.9,34.3,3645,2000,Four Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,22,30,4, Turbo Gas,1.6,White,Gray,736.0
136,2020 Nissan Rogue S,"$22,998*",24K miles,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3464,1102,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,White,Black,397.7
