Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
63,2015 Mercedes-Benz ML350,"$21,998*",74K miles,8 year(s),No Accidents or Damage Reported,Null,,24.6 gal,"114.8""","40.3""","40.4""",38.2 cu ft,"4,751 lbs","7,200/7,200 lbs",All Wheel Drive,Automatic,273,3500,"189.1"" L "," 75.8"" W "," 70.7"" H",17 city,22 hwy,6-cyl, Gas, 3.5L,Gray,Black,780.0
64,2019 Hyundai Tucson SEL,"$17,998*",97K miles,4 year(s),,Null,,16.4 gal,"105.1""","41.5""","39.6""",31 cu ft,"3,426 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4000,"176.4"" L "," 72.8"" W "," 64.8"" H",22 city,28 hwy,4-cyl, Gas, 2.4L,White,Gray,437.5
65,2019 Buick Encore Preferred,"$19,998*",45K miles,4 year(s),No Accidents or Damage Reported,Null,,14.0 gal,"100.60""","40.82""","39.58""",Null,"3,237 lbs",Null,Front Wheel Drive,Automatic,148,1850,"168.35"" L "," 70.10"" W "," 65.25"" H",25 city,30 hwy,4-cyl, Turbo Gas, 1.4L,Black,Black,800.0
66,2019 Toyota Highlander Hybrid Limited Platinum,"$39,998*",47K miles,4 year(s),,Null,,17.2 gal,"109.8""","44.2""","39.8""",13.6 cu ft,"4,861 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,215,4800,"192.5"" L "," 75.8"" W "," 68.1"" H",29 city,27 hwy,6-cyl, Hybrid, 3.5L,Silver,Black,447.9166666666667
67,2019 Acura RDX,"$28,998*",60K miles,4 year(s),No Accidents or Damage Reported,Null,,17.1 gal,"108.3""","41.6""","39.6""",29.5 cu ft,"4,026 lbs",Null,All Wheel Drive,Automatic,280,1600,"186.8"" L "," 74.8"" W "," 65.7"" H",21 city,27 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1750.0
68,2019 Hyundai Santa Fe Limited,"$24,998*",42K miles,4 year(s),,Null,,18.8 gal,"108.9""","44.1""","41.2""",35.9 cu ft,"4,063 lbs",Null,All Wheel Drive,Automatic,260,1450,"187.8"" L "," 74.4"" W "," 67.1"" H",19 city,24 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Tan,1793.103448275862
71,2018 Toyota Highlander XLE,"$24,998*",105K miles,5 year(s),,Null,3 Service Record(s) Reported,19.2 gal,"109.8""","44.2""","39.5""",13.8 cu ft,"4,430 lbs","5,000/5,000 lbs",Front Wheel Drive,Automatic,263,4700,"192.5"" L "," 75.8"" W "," 68.1"" H",21 city,27 hwy,6-cyl, Gas, 3.5L,White,Black,559.5744680851064
72,2019 Kia Niro EX,"$24,998*",55K miles,4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,11.9 gal,"106.3""","41.7""","40.1""",19.4 cu ft,"3,199 lbs",Null,Front Wheel Drive,Automatic,195,2400,"171.5"" L "," 71.1"" W "," 60.4"" H",51 city,46 hwy,4-cyl, Hybrid, 1.6L,Blue,Gray,812.5
73,2019 Subaru Forester 2.5I Touring,"$27,998*",55K miles,4 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,16.6 gal,"105.1""","43.3""","40.2""",28.9 cu ft,"3,588 lbs","1,500/1,500 lbs",All Wheel Drive,Automatic,176,4400,"182.1"" L "," 71.5"" W "," 68.1"" H",26 city,33 hwy,4-cyl, Gas, 2.5L,Red,Black,400.0
74,2019 Jeep Compass Trailhawk,"$23,998*",52K miles,4 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,13.5 gal,"103.8""","41.8""","39.2""",27.2 cu ft,"3,633 lbs","1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,"173"" L "," 73.8"" W "," 64.8"" H",22 city,30 hwy,4-cyl, Gas, 2.4L,White,Black,448.71794871794873
75,2017 Toyota Highlander Limited,"$24,998*",114K miles,6 year(s),No Accidents or Damage Reported,Null,,19.2 gal,"109.8""","44.2""","39.5""",13.8 cu ft,"4,655 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,"192.5"" L "," 75.8"" W "," 68.1"" H",20 city,26 hwy,6-cyl, Gas, 3.5L,White,Black,559.5744680851064
76,2016 Hyundai Tucson Sport,"$18,998*",60K miles,7 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,16.4 gal,"105.1""","41.5""","39.6""",31 cu ft,"3,499 lbs","1,000/1,000 lbs",All Wheel Drive,Automatic,195,1500,"176.2"" L "," 72.8"" W "," 64.8"" H",24 city,28 hwy,4-cyl, Turbo Gas, 1.6L,Gray,Black,1300.0
77,2016 Honda Pilot EX-L,"$24,998*",80K miles,7 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,19.5 gal,"111""","40.9""","39.5""",16.5 cu ft,"4,288 lbs",Null,All Wheel Drive,Automatic,262,4700,"194.5"" L "," 78.6"" W "," 69.8"" H",18 city,26 hwy,6-cyl, Gas, 3.5L,Blue,Gray,557.4468085106383
79,2015 Nissan Rogue SV,"$20,998*",27K miles,8 year(s),No Accidents or Damage Reported,Null,,14.5 gal,"106.5""","43""","41.6""",39.3 cu ft,"3,545 lbs","1,000/1,000 lbs",All Wheel Drive,Automatic,175,4400,"182.3"" L "," 72.4"" W "," 66.3"" H",25 city,32 hwy,4-cyl, Gas, 2.5L,Blue,Black,397.72727272727275
80,2018 Kia Sportage LX,"$19,998*",49K miles,5 year(s),,Null,2 Service Record(s) Reported,16.4 gal,"105.1""","41.5""","39.3""",30.7 cu ft,"3,448 lbs","1,650/1,650 lbs",All Wheel Drive,Automatic,175,4000,"176.4"" L "," 73"" W "," 64.8"" H",21 city,25 hwy,4-cyl, Gas, 2.4L,Red,Black,437.5
81,2020 Nissan Rogue SV,"$23,998*",55K miles,3 year(s),No Accidents or Damage Reported,Null,,14.5 gal,"106.5""","43""","41.6""",39.3 cu ft,"3,615 lbs","1,102/1,102 lbs",All Wheel Drive,Automatic,175,4400,"184.5"" L "," 72.4"" W "," 68.5"" H",25 city,32 hwy,4-cyl, Gas, 2.5L,Gray,Black,397.72727272727275
