,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
117,4,No Accidents or Damage Reported,0,5,2019 Ram 1500 Classic Tradesman,26998,30,26.0,140.0,41.0,41.0,0,4877,"4,660/4,660 lbs",Rear Wheel Drive,Automatic,269,4175,229.0,79.4,77.2,17,25,6, Gas,3.6,White,Gray,644.3
118,9,No Accidents or Damage Reported,0,0,2014 Ford F150 FX2,24998,108,26.0,145.0,41.4,41.0,0,5254,"8,000/8,000 lbs",Rear Wheel Drive,Automatic,380,4250,231.8,79.2,74.8,15,21,8, Gas,5.0,Black,Black,894.1
119,7,No Accidents or Damage Reported,0,2,2016 Ram 1500 Bighorn,23998,117,26.0,140.0,41.0,41.0,0,5142,"4,450/4,450 lbs",Four Wheel Drive,Automatic,269,4175,229.0,79.4,77.7,16,23,6, Gas,3.6,Black,Gray,644.3
120,4,No Accidents or Damage Reported,0,0,2019 Chevrolet Silverado 1500 Custom Trail Boss,35998,57,24.0,147.5,44.53,43.03,0,4815,"9,500/9,500 lbs",Four Wheel Drive,Automatic,383,4100,231.7,81.24,78.45,14,18,8, Gas,5.3,Gray,Black,934.1
121,1,No Accidents or Damage Reported,0,0,2022 Ford Ranger XLT,32998,15,18.0,126.8,43.1,41.0,0,4232,"3,500/3,500 lbs",Rear Wheel Drive,Automatic,310,3000,210.8,77.8,71.1,21,26,4, Turbo Gas,2.3,Gray,Black,1033.3
122,2,No Accidents or Damage Reported,0,0,2021 Toyota Tacoma SR,31998,14,21.1,127.4,42.9,39.7,0,4075,"3,500/3,500 lbs",Rear Wheel Drive,Automatic,180,3800,212.3,74.4,70.6,20,23,4, Gas,2.7,Red,Gray,473.7
123,3,No Accidents or Damage Reported,0,0,2020 GMC Sierra 1500 SLT,46998,39,24.0,156.98,44.53,43.03,0,4887,"12,000/12,000 lbs",Four Wheel Drive,Automatic,383,4100,241.25,81.24,75.4,16,22,8, Gas,5.3,Silver,Black,934.1
124,5,No Accidents or Damage Reported,0,0,2018 Ram 1500 Tradesman,24998,54,26.0,140.0,41.0,41.0,0,4877,"4,650/4,650 lbs",Rear Wheel Drive,Automatic,269,4175,229.0,79.4,77.2,17,25,6, Gas,3.6,Gray,Black,644.3
125,2,No Accidents or Damage Reported,0,0,2021 Chevrolet Silverado 1500 LTZ,42998,46,24.0,147.43,44.53,43.03,0,4602,"11,500/11,500 lbs",Rear Wheel Drive,Automatic,383,4100,231.7,81.24,75.49,17,23,8, Gas,5.3,Silver,Black,934.1
126,4,No Accidents or Damage Reported,0,0,2019 Toyota Tacoma SR5,32998,28,21.1,127.4,42.9,39.7,0,4305,"6,500/6,500 lbs",Four Wheel Drive,Automatic,265,4600,212.3,74.4,70.6,18,22,6, Gas,3.5,Gray,Gray,576.1
127,7,No Accidents or Damage Reported,0,0,2016 Ford F150 XLT,24998,100,23.0,157.0,43.9,40.8,0,4572,"7,600/7,600 lbs",Rear Wheel Drive,Automatic,253,4250,243.7,79.9,75.7,18,25,6, Gas,3.5,Gray,Gray,595.3
128,6,No Accidents or Damage Reported,0,0,2017 Nissan Frontier S,20998,44,21.1,125.9,42.4,39.7,0,3757,"3,500/3,500 lbs",Rear Wheel Drive,Automatic,171,4400,205.5,72.8,68.7,17,23,4, Gas,2.5,White,Gray,388.6
129,2,No Accidents or Damage Reported,0,0,2021 Chevrolet Silverado 1500 Custom,34998,32,24.0,147.45,44.53,43.03,0,4598,"9,700/9,700 lbs",Rear Wheel Drive,Automatic,305,3900,231.7,81.24,75.6,16,21,6, Gas,4.3,Gray,Black,782.1
130,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Colorado LT,24998,48,21.0,128.3,45.0,41.4,0,3831,"7,000/7,000 lbs",Rear Wheel Drive,Automatic,191,4400,212.7,74.3,70.4,20,26,4, Gas,2.5,White,Black,434.1
131,4,No Accidents or Damage Reported,0,1,2019 Ford F150 Lariat,39998,59,26.0,157.0,43.9,40.8,0,4913,"7,000/7,000 lbs",Four Wheel Drive,Automatic,470,3500,243.7,79.9,77.3,17,23,6, Turbo Gas,3.5,Gray,Black,1342.9
132,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Classic Tradesman,19998,123,26.0,140.0,41.0,41.0,0,4877,"4,660/4,660 lbs",Rear Wheel Drive,Automatic,269,4175,229.0,79.4,77.2,17,25,6, Gas,3.6,Gray,Gray,644.3
