,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque,type
230,2020 Dodge Challenger R/T Scat Pack Widebody,50998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Red,Black,1158.5,coupes
231,2021 Dodge Challenger GT,31998,7,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3906,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,Purple,Black,558.3,coupes
232,2018 Chevrolet Camaro SS,40998,18,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,White,Red,1034.1,coupes
233,2015 Hyundai Genesis,19998,74,8,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,0.0,3495,Null,Rear Wheel Drive,Automatic,295,5100,182.3,73.4,54.5,16,25,6, Gas,3.8,White,Black,578.4,coupes
234,2013 BMW 328 I,18998,65,10,No Accidents or Damage Reported,0,16,16.1,108.7,41.8,38.4,0.0,3583,Null,Rear Wheel Drive,Automatic,200,2750,181.9,71.5,54.9,18,28,6, Gas,3.0,Burgundy,Gray,727.3,coupes
235,2014 Chevrolet Camaro LT,22998,39,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2,coupes
236,2014 Ford Mustang,16998,110,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3501,Null,Null,Automatic,280,4250,188.5,73.9,55.8,19,29,6, Gas,3.7,Blue,Tan,658.8,coupes
237,2019 Chevrolet Camaro 2SS,34998,54,4,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3956,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,Silver,Black,1034.1,coupes
238,2018 Subaru BRZ Limited,28998,23,5,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2840,Null,Rear Wheel Drive,Automatic,151,6400,166.7,69.9,50.6,24,33,4, Gas,2.0,Blue,Black,235.9,coupes
239,2019 Ford Mustang Ecoboost,24998,55,4,No Accidents or Damage Reported,0,2,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Red,Black,1166.7,coupes
240,2021 Dodge Challenger SXT,26998,59,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,58.4,18,27,6, Gas,3.6,Black,Black,558.3,coupes
241,2014 Chevrolet Camaro LT,22998,46,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2,coupes
242,2014 Chevrolet Camaro LT,20998,70,9,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,White,Black,579.2,coupes
243,2020 Ford Mustang Shelby GT350,59998,28,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Gray,Gray,903.2,coupes
244,2020 Ford Mustang Ecoboost,24998,46,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Gray,Black,1166.7,coupes
245,2021 Dodge Challenger R/T Scat Pack,43998,11,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Silver,Black,1158.5,coupes
246,2019 Chevrolet Camaro 2SS,38998,36,4,Multiple Damage Events,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Null,Automatic,455,4400,188.3,74.7,53.1,16,24,8, Gas,6.2,Blue,Black,1034.1,coupes
247,2021 Dodge Challenger SXT,27998,22,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,White,Black,558.3,coupes
248,2018 Chevrolet Corvette Stingray,48998,48,5,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0.0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Blue,Black,1000.0,coupes
249,2019 Dodge Challenger SXT,24998,59,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Red,Black,558.3,coupes
250,2017 Nissan 370Z,23998,85,6,No Accidents or Damage Reported,0,4,19.0,100.4,42.9,38.2,0.0,3332,Null,Rear Wheel Drive,Automatic,270,5200,167.5,72.6,51.8,19,26,6, Gas,3.7,Pearl,Black,519.2,coupes
251,2018 Dodge Challenger SRT 392,43998,38,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4279,Null,Rear Wheel Drive,Automatic,475,4100,198.0,75.7,55.9,14,23,8, Gas,6.4,Black,Black,1158.5,coupes
252,2018 Chevrolet Camaro SS,37998,21,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Black,Black,1034.1,coupes
253,2020 Dodge Challenger SXT,26998,43,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Gray,Black,558.3,coupes
254,2020 Dodge Challenger SXT,26998,44,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3,coupes
255,2013 Chevrolet Camaro ZL1,42998,18,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0.0,4120,Null,Rear Wheel Drive,Manual 6 Speed,556,4200,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8,coupes
256,2015 Ford Mustang Ecoboost,22998,34,8,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,White,Black,1280.0,coupes
257,2017 Chevrolet Camaro LT,27998,43,6,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3354,Null,Rear Wheel Drive,Automatic,284,5300,188.3,74.7,53.1,16,28,6, Gas,3.6,Black,Black,535.8,coupes
258,2018 Dodge Challenger GT,26998,55,5,No Accidents or Damage Reported,0,1,18.5,116.2,42.0,39.3,0.0,4108,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Gray,Black,558.3,coupes
259,2018 Honda Civic SI,23998,77,5,No Accidents or Damage Reported,0,2,12.4,106.3,42.3,36.5,0.0,2889,Null,Front Wheel Drive,Manual 6 Speed,192,2100,177.3,70.9,54.7,28,38,4, Turbo Gas,1.5,Gray,Black,914.3,coupes
260,2018 Infiniti Q60 Red Sport 400,36998,41,5,No Accidents or Damage Reported,0,0,20.0,112.2,43.1,37.4,0.0,4024,Null,All Wheel Drive,Automatic,350,1600,184.4,72.8,54.9,19,26,6, Turbo Gas,3.0,Silver,Red,2187.5,coupes
261,2020 BMW 430 I xDrive,33998,22,3,No Accidents or Damage Reported,0,1,15.8,110.6,42.2,39.8,0.0,3697,Null,All Wheel Drive,Automatic,258,1450,182.7,71.9,54.8,21,31,4, Turbo Gas,2.0,Gray,Black,1779.3,coupes
262,2017 Dodge Challenger R/T Scat Pack,33998,56,6,No Accidents or Damage Reported,0,3,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,White,Black,1158.5,coupes
263,2019 Dodge Challenger SXT,27998,27,4,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Silver,Black,558.3,coupes
264,2013 Hyundai Elantra GS,15998,32,10,No Accidents or Damage Reported,0,0,13.2,106.3,43.6,39.8,0.0,2729,Null,Front Wheel Drive,Automatic,131,4700,178.7,69.9,56.5,27,37,4, Gas,1.8,Blue,Gray,278.7,coupes
265,2017 Dodge Challenger 392 Hemi Scat Pack Shaker,38998,25,6,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Gray,Black,1158.5,coupes
266,2015 Infiniti Q60 Limited,23998,75,8,No Accidents or Damage Reported,0,0,20.0,112.2,43.8,37.7,0.0,3781,Null,Rear Wheel Drive,Automatic,276,5200,185.1,71.8,54.9,19,27,6, Gas,3.7,White,Black,530.8,coupes
267,2019 Mercedes-Benz C300,28998,77,4,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3682,Null,All Wheel Drive,Automatic,273,1800,184.5,71.3,55.3,22,31,4, Turbo Gas,2.0,Gray,Black,1516.7,coupes
268,2017 Ford Mustang Ecoboost,23998,58,6,No Accidents or Damage Reported,0,2,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1280.0,coupes
269,2014 Smart Fortwo Passion,9599,84,9,No Accidents or Damage Reported,0,0,8.7,73.5,41.2,39.7,0.0,1808,Null,Rear Wheel Drive,Automatic,68,4500,106.1,61.4,60.7,34,38,3, Gas,1.0,White,Black,151.1,coupes
270,2016 Ford Mustang Ecoboost,19998,81,7,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,Black,Black,1280.0,coupes
271,2014 Dodge Challenger R/T,25998,34,9,No Accidents or Damage Reported,0,2,19.5,116.0,42.0,39.3,0.0,4082,Null,Rear Wheel Drive,Manual 6 Speed,410,4300,197.7,75.7,57.1,15,23,8, Gas,5.7,Black,Black,953.5,coupes
272,2020 Ford Mustang Ecoboost,23998,74,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7,coupes
273,2018 Chevrolet Camaro SS,37998,46,5,No Accidents or Damage Reported,0,1,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Blue,Black,1034.1,coupes
274,2020 Dodge Challenger R/T,37998,7,3,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0.0,4182,Null,Null,Automatic,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,Black,Black,953.5,coupes
275,2015 Chevrolet Camaro SS,25998,85,8,No Accidents or Damage Reported,0,5,19.0,112.3,42.4,37.4,0.0,3908,Null,Rear Wheel Drive,Automatic,420,4600,190.6,75.5,54.2,16,24,8, Gas,6.2,Black,Black,913.0,coupes
276,2014 Infiniti Q60 S,17998,119,9,No Accidents or Damage Reported,0,0,20.0,112.2,43.8,37.7,0.0,3708,Null,Rear Wheel Drive,Manual 6 Speed,270,5200,183.7,71.8,54.9,17,25,6, Gas,3.7,Black,Black,519.2,coupes
277,2015 Volkswagen Beetle,24998,25,8,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,32,4, Turbo Gas,1.8,Red,Black,1226.7,coupes
278,2019 Mini Cooper S,32998,3,4,No Accidents or Damage Reported,0,0,11.6,98.2,41.4,39.8,0.0,2985,Null,Front Wheel Drive,Automatic,207,1350,151.9,68.0,55.7,23,32,4, Turbo Gas,2.0,Silver,Brown,1533.3,coupes
279,2016 Honda Civic Touring,18998,85,7,No Accidents or Damage Reported,0,0,12.4,106.3,42.3,36.5,0.0,2888,Null,Front Wheel Drive,Automatic,162,1700,176.9,70.8,54.9,31,41,4, Turbo Gas,1.5,Black,Black,952.9,coupes
280,2013 Ford Mustang,16998,73,10,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3501,Null,Null,Automatic,280,4250,188.5,73.9,55.6,19,29,6, Gas,3.7,Silver,Black,658.8,coupes
281,2020 Ford Mustang Ecoboost Premium,29998,28,3,No Accidents or Damage Reported,0,5,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7,coupes
282,2020 Ford Mustang Ecoboost,26998,23,3,No Accidents or Damage Reported,0,1,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1166.7,coupes
283,2013 Audi A5 Premium Plus,19998,73,10,No Accidents or Damage Reported,0,4,16.9,108.3,41.3,40.0,0.0,4034,Null,All Wheel Drive,Automatic,258,1500,182.1,73.0,54.4,20,30,4, Turbo Gas,2.0,Gray,Black,1720.0,coupes
284,2020 Ford Mustang Ecoboost,23998,42,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Gray,Black,1166.7,coupes
285,2022 BMW 430 I xDrive,35998,44,1,No Accidents or Damage Reported,0,0,15.6,112.2,41.8,38.0,0.0,3708,Null,All Wheel Drive,Automatic,294,1550,187.9,72.9,54.8,23,33,4, Turbo Gas,2.0,White,Tan,1896.8,coupes
286,2021 Dodge Challenger R/T Scat Pack,41998,13,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Blue,Black,1158.5,coupes
287,2018 Chevrolet Camaro LT,25998,39,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3339,Null,Rear Wheel Drive,Automatic,284,5300,188.3,74.7,53.1,19,29,6, Gas,3.6,Silver,Black,535.8,coupes
288,2017 Volkswagen Beetle Classic,21998,88,6,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,33,4, Turbo Gas,1.8,Orange,Gray,1226.7,coupes
289,2017 Volkswagen Beetle SE,29998,19,6,Multiple Damage Events,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,33,4, Turbo Gas,1.8,White,Cream,1226.7,coupes
290,2020 Ford Mustang Ecoboost Premium,27998,32,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3642,Null,Null,Automatic,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Gray,Black,1166.7,coupes
291,2020 BMW 230 I,32998,23,3,No Accidents or Damage Reported,0,0,13.7,105.9,41.5,40.5,0.0,3680,Null,Rear Wheel Drive,Automatic,258,1450,174.7,69.8,55.6,23,34,4, Turbo Gas,2.0,White,Black,1779.3,coupes
292,2019 Audi A5 Premium Plus,37998,18,4,No Accidents or Damage Reported,0,0,15.3,108.9,41.3,40.0,0.0,3990,Null,All Wheel Drive,Automatic,273,1600,184.0,72.7,54.4,23,34,4, Turbo Gas,2.0,Blue,Gray,1706.2,coupes
293,2018 Ford Mustang Ecoboost,23998,37,5,No Accidents or Damage Reported,0,10,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Black,Black,1166.7,coupes
294,2019 Dodge Challenger R/T Scat Pack Widebody,47998,16,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4232,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,White,Black,1158.5,coupes
295,2020 Chevrolet Camaro 2SS,40998,15,3,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3937,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,Blue,Black,1034.1,coupes
296,2018 BMW 230 I,27998,51,5,No Accidents or Damage Reported,0,2,13.7,105.9,41.5,40.5,0.0,3680,Null,Rear Wheel Drive,Automatic,258,1450,174.7,69.8,55.6,24,34,4, Turbo Gas,2.0,White,Brown,1779.3,coupes
297,2020 Ford Mustang Ecoboost Premium,27998,32,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,White,Black,1166.7,coupes
298,2017 Ford Mustang,23998,44,6,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3526,Null,Rear Wheel Drive,Automatic,280,4000,188.3,75.4,54.4,18,27,6, Gas,3.7,Red,Black,700.0,coupes
299,2020 Dodge Challenger R/T,35998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4182,Null,Null,Automatic,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,Gray,Black,953.5,coupes
300,2015 BMW 428 XI,27998,47,8,No Accidents or Damage Reported,0,0,15.8,110.6,42.2,40.4,0.0,4160,Null,All Wheel Drive,Automatic,255,1250,182.6,71.9,54.5,21,33,4, Turbo Gas,2.0,White,Brown,2040.0,coupes
301,2018 Audi A5 Premium Plus,34998,32,5,No Accidents or Damage Reported,0,0,15.3,108.9,41.3,40.0,0.0,3990,Null,All Wheel Drive,Automatic,273,1600,184.0,72.7,54.4,24,34,4, Turbo Gas,2.0,Gray,Gray,1706.2,coupes
302,2014 Mercedes-Benz E350,24998,56,9,No Accidents or Damage Reported,0,1,17.4,108.7,42.0,38.3,0.0,3883,Null,Rear Wheel Drive,Automatic,273,3500,185.0,70.3,55.0,19,28,6, Gas,3.5,Blue,Brown,780.0,coupes
303,2013 Mini Cooper,15998,42,10,No Accidents or Damage Reported,0,6,10.566,97.125,41.7,38.385,0.0,2403,Null,Front Wheel Drive,Manual 6 Speed,118,4250,146.771,66.259,54.251,29,37,4, Gas,1.6,Blue,Black,277.6,coupes
304,2021 Dodge Challenger R/T Scat Pack Widebody,56998,5,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,79.2,57.7,14,23,8, Gas,6.4,Burgundy,Black,1158.5,coupes
305,2014 GMC Terrain SLT,17998,81,9,No Accidents or Damage Reported,0,1,18.0,112.5,41.2,39.8,0.0,3867,Null,Front Wheel Drive,Automatic,272,4800,185.3,72.8,66.3,17,24,6, Gas,3.6,Black,Brown,566.7,suv
306,2016 Jeep Grand Cherokee Laredo,19998,83,7,No Accidents or Damage Reported,0,9,24.6,114.8,40.3,39.9,36.3,4677,"3,500/3,500 lbs",Four Wheel Drive,Automatic,260,4000,189.8,76.5,69.3,18,25,6, Gas,3.6,Black,Black,650.0,suv
307,2020 Hyundai Palisade Limited,42998,30,3,No Accidents or Damage Reported,0,0,18.8,114.2,44.1,39.3,18.0,4387,"1,650/1,650 lbs",All Wheel Drive,Automatic,262,5200,196.1,77.8,68.9,19,24,6, Gas,3.8,White,Cream,503.8,suv
308,2012 Chevrolet Captiva Sport LT,12998,118,11,No Accidents or Damage Reported,0,11,19.2,106.6,40.7,40.2,0.0,3831,"3,500/3,500 lbs",Front Wheel Drive,Automatic,222,5100,180.1,72.8,67.0,17,24,6, Gas,3.0,White,Black,435.3,suv
309,2014 Jeep Grand Cherokee Laredo,16998,124,9,No Accidents or Damage Reported,0,7,24.6,114.8,40.3,39.9,36.3,4677,"6,200/6,200 lbs",Four Wheel Drive,Automatic,260,4800,189.8,76.5,69.3,17,24,6, Gas,3.6,White,Black,541.7,suv
310,2018 Jeep Wrangler All-New Unlimited Sahara,32998,44,5,No Accidents or Damage Reported,0,3,21.5,118.4,41.2,42.6,31.7,4331,"3,500/3,500 lbs",Four Wheel Drive,Manual 6 Speed,260,4800,188.4,73.8,73.6,17,23,6, Gas,3.6,Silver,Black,541.7,suv
311,2017 GMC Terrain SLE,16998,101,6,No Accidents or Damage Reported,0,4,18.8,112.5,41.2,39.8,0.0,3792,Null,Front Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,21,31,4, Gas,2.4,Gray,Black,351.0,suv
312,2016 BMW X3 XDrive28i,22998,72,7,No Accidents or Damage Reported,0,9,17.7,110.6,39.9,40.7,27.6,4150,"3,500/3,500 lbs",All Wheel Drive,Automatic,260,1450,183.8,74.1,66.1,21,28,4, Turbo Gas,2.0,White,Tan,1793.1,suv
313,2018 Volkswagen Tiguan Limited,17998,69,5,No Accidents or Damage Reported,0,0,16.9,102.5,40.1,39.1,23.8,3646,"2,200/2,200 lbs",All Wheel Drive,Automatic,207,1700,174.5,71.2,67.1,19,25,4, Turbo Gas,2.0,Black,Black,1217.6,suv
314,2016 Jeep Compass Sport,15998,89,7,No Accidents or Damage Reported,0,6,13.5,103.7,40.6,40.7,22.7,3258,"1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,22,27,4, Gas,2.4,Black,Black,375.0,suv
315,2017 GMC Terrain SLT,18998,94,6,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,0.0,4054,Null,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,28,4, Gas,2.4,Gray,Black,351.0,suv
316,2013 Ford Edge SE,15998,80,10,No Accidents or Damage Reported,0,1,18.3,111.2,40.7,40.0,0.0,4056,Null,Front Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,19,27,6, Gas,3.5,Black,Black,632.5,suv
317,2013 Jeep Wrangler Sport,19998,82,10,No Accidents or Damage Reported,0,0,18.6,95.4,41.0,41.3,0.0,3760,Null,Four Wheel Drive,Manual 6 Speed,260,4800,152.8,73.7,70.9,17,21,6, Gas,3.6,Black,Black,541.7,suv
318,2013 Hyundai Santa Fe Sport,14998,117,10,No Accidents or Damage Reported,0,1,17.4,106.3,41.3,39.6,0.0,3459,Null,Front Wheel Drive,Automatic,181,4250,184.6,74.0,66.1,21,29,4, Gas,2.4,Orange,Gray,425.9,suv
319,2019 Kia Niro EX,24998,55,4,No Accidents or Damage Reported,0,1,11.9,106.3,41.7,40.1,19.4,3199,Null,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,Blue,Gray,812.5,suv
320,2019 Jeep Compass Altitude,24998,51,4,No Accidents or Damage Reported,0,3,13.5,103.8,41.8,39.2,27.2,3184,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7,suv
321,2017 Mitsubishi Outlander Sport ES,18998,23,6,No Accidents or Damage Reported,0,0,16.6,105.1,41.6,39.4,21.7,3032,Null,Front Wheel Drive,Manual 5 Speed,145,4200,171.5,71.3,64.8,23,29,4, Gas,2.0,Silver,Black,345.2,suv
322,2015 Subaru Forester 2.0XT Touring,17998,114,8,No Accidents or Damage Reported,0,0,15.9,103.9,43.0,40.0,31.5,3651,"1,500/1,500 lbs",All Wheel Drive,Automatic,258,2000,180.9,70.7,68.2,23,28,4, Turbo Gas,2.0,Gray,Black,1290.0,suv
323,2017 Kia Soul,15998,45,6,No Accidents or Damage Reported,0,10,14.2,101.2,40.9,39.6,0.0,2942,Null,Front Wheel Drive,Automatic,118,4850,163.0,70.9,63.5,25,30,4, Gas,1.6,Green,Black,243.3,suv
324,2015 Nissan Juke SL,17998,55,8,No Accidents or Damage Reported,0,0,13.2,99.6,42.1,38.6,10.5,3007,Null,Front Wheel Drive,Automatic,177,2000,162.4,69.5,61.8,28,32,4, Turbo Gas,1.6,White,Black,885.0,suv
325,2018 BMW X3 XDrive30i,28998,56,5,No Accidents or Damage Reported,0,4,17.2,112.8,40.3,41.1,28.7,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3,suv
326,2016 Jeep Grand Cherokee 75TH Anniversary Edition,23998,94,7,No Accidents or Damage Reported,0,6,24.6,114.8,40.3,39.9,36.3,4677,"3,500/3,500 lbs",Four Wheel Drive,Automatic,260,4000,189.8,76.5,69.3,18,25,6, Gas,3.6,Gray,Black,650.0,suv
327,2018 Kia Sorento LX,20998,60,5,No Accidents or Damage Reported,0,6,18.8,109.4,44.1,39.5,11.3,3840,"2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Black,445.0,suv
328,2016 Volvo XC60 T5 Premier,16998,113,7,No Accidents or Damage Reported,0,0,18.5,109.2,41.2,38.0,30.8,4041,"3,500/3,500 lbs",Front Wheel Drive,Automatic,258,1500,182.8,74.4,67.4,23,31,4, Turbo Gas,2.0,White,Black,1720.0,suv
329,2018 Jeep Compass Latitude,19998,55,5,No Accidents or Damage Reported,0,0,13.5,103.8,41.8,39.2,27.2,3327,"1,000/1,000 lbs",Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Gray,Black,448.7,suv
330,2018 Kia Sportage EX,17998,82,5,No Accidents or Damage Reported,0,6,16.4,105.1,41.5,39.3,30.7,3305,"1,650/1,650 lbs",Front Wheel Drive,Automatic,175,4000,176.4,73.0,64.8,22,29,4, Gas,2.4,Blue,Black,437.5,suv
331,2016 Jeep Patriot High Altitude,15998,97,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23.0,3210,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,White,Black,282.0,suv
332,2016 Dodge Journey Crossroad Plus,16998,98,7,No Accidents or Damage Reported,0,5,20.5,113.8,40.8,40.8,10.7,3907,"1,000/1,000 lbs",Front Wheel Drive,Automatic,260,4400,192.4,72.2,66.6,19,26,6, Gas,3.6,Black,Black,590.9,suv
333,2018 Infiniti QX60,25998,66,5,No Accidents or Damage Reported,0,9,19.5,114.2,42.2,40.7,16.0,4527,"5,000/5,000 lbs",All Wheel Drive,Automatic,270,4800,200.1,77.2,68.6,19,26,6, Gas,3.5,White,Black,562.5,suv
334,2019 Cadillac XT5 Premium Luxury,34998,7,4,No Accidents or Damage Reported,0,3,19.4,112.5,41.2,38.4,0.0,4113,"3,500/3,500 lbs",Front Wheel Drive,Automatic,271,5000,189.5,75.0,66.0,19,26,6, Gas,3.6,Black,Black,542.0,suv
