Name,Price,Mile,Ages,Accident_damages,Insurance,Service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,curb_weight,transmission,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque,type
2015 Nissan Pathfinder SL,18998,87,8,No Accidents or Damage Reported,0,8,19.5,114.2,42.3,42.2,4223,Automatic,197.2,77.2,69.6,20,27,6, Gas,3.5,White,Tan,545.5,suv
2022 Toyota Highlander XLE,36998,23,1,No Accidents or Damage Reported,0,0,17.9,112.2,42.0,39.6,4195,Automatic,194.9,76.0,68.1,21,29,6, Gas,3.5,Silver,Gray,559.6,suv
2015 Hyundai Santa Fe Sport 2.0T,18998,80,8,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,3706,Automatic,184.6,74.0,66.1,18,24,4, Turbo Gas,2.0,Red,Tan,1537.1,suv
2012 Subaru Outback 2.5I Limited,20998,47,11,No Accidents or Damage Reported,0,7,18.5,107.9,43.0,40.8,3564,Automatic,188.2,71.7,65.7,22,29,4, Gas,2.5,White,Tan,425.0,suv
2022 Nissan Kicks S,21998,29,1,No Accidents or Damage Reported,0,0,10.8,103.1,43.7,40.4,2682,Automatic,169.1,69.3,63.3,31,36,4, Gas,1.6,White,Black,285.0,suv
2022 Nissan Rogue Sport S,23998,29,1,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,3307,Automatic,172.8,72.3,62.5,25,32,4, Gas,2.0,Black,Black,334.1,suv
2015 Lexus RX 450h,27998,73,8,No Accidents or Damage Reported,0,2,17.2,107.9,43.1,39.0,4652,Automatic,187.8,74.2,66.7,30,28,6, Hybrid,3.5,White,Tan,487.5,suv
2014 Cadillac SRX Premium,24998,41,9,No Accidents or Damage Reported,0,1,21.0,110.5,41.2,39.7,4442,Automatic,190.3,75.2,65.7,16,23,6, Gas,3.6,Blue,Black,1104.2,suv
2018 Toyota 4Runner Limited,33998,58,5,No Accidents or Damage Reported,0,0,23.0,109.8,41.7,38.6,4525,Automatic,190.7,75.8,71.5,17,21,6, Gas,4.0,Black,Black,631.8,suv
2020 Kia Soul LX,19998,16,3,No Accidents or Damage Reported,0,0,14.3,102.4,41.1,39.4,2844,Automatic,165.2,70.9,63.0,27,33,4, Gas,2.0,Red,Tan,293.3,suv
2016 Nissan Murano SL,21998,69,7,No Accidents or Damage Reported,0,0,19.0,111.2,40.5,38.1,3977,Automatic,192.4,75.4,66.6,21,28,6, Gas,3.5,Silver,Brown,545.5,suv
2015 Acura MDX,18998,116,8,No Accidents or Damage Reported,0,20,19.5,111.0,41.4,38.1,4294,Automatic,193.6,77.2,67.6,18,27,6, Gas,3.5,White,Tan,593.3,suv
2019 Buick Encore Preferred,19998,45,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,3237,Automatic,168.35,70.1,65.25,25,30,4, Turbo Gas,1.4,Black,Black,800.0,suv
2022 Nissan Kicks SR,24998,15,1,No Accidents or Damage Reported,0,0,10.8,103.1,43.7,40.4,2744,Automatic,169.1,69.3,63.4,31,36,4, Gas,1.6,White,Black,285.0,suv
2017 Chevrolet Traverse Premier,22998,85,6,No Accidents or Damage Reported,0,6,22.0,118.9,41.3,40.4,4956,Automatic,203.7,78.5,69.9,15,22,6, Gas,3.6,White,Black,794.1,suv
2023 Hyundai Santa Fe SEL,29998,39,0,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,3960,Automatic,188.4,74.8,66.3,22,25,4, Gas,2.5,White,Black,452.5,suv
2022 Jeep Grand Cherokee WK Laredo X,33998,24,1,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,39.9,4625,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,White,Black,642.5,suv
2016 Hyundai Tucson Sport,18998,60,7,No Accidents or Damage Reported,0,3,16.4,105.1,41.5,39.6,3499,Automatic,176.2,72.8,64.8,24,28,4, Turbo Gas,1.6,Gray,Black,1300.0,suv
2015 Nissan Pathfinder S,17998,85,8,No Accidents or Damage Reported,0,3,19.5,114.2,42.3,42.2,4309,Automatic,197.2,77.2,69.6,19,26,6, Gas,3.5,Black,Black,545.5,suv
2017 Kia Soul,15998,70,6,No Accidents or Damage Reported,0,2,14.2,101.2,40.9,39.6,2942,Automatic,163.0,70.9,63.5,25,30,4, Gas,1.6,Gray,Black,243.3,suv
2017 Honda Pilot EX-L,21998,117,6,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,4288,Automatic,194.5,78.6,69.8,18,26,6, Gas,3.5,Silver,Gray,557.4,suv
2016 Lexus NX 200t,27998,40,7,No Accidents or Damage Reported,0,4,15.9,104.7,42.8,38.2,3940,Automatic,182.3,73.6,64.8,22,28,4, Turbo Gas,2.0,White,Tan,1563.6,suv
2019 Kia Sorento LX,20998,58,4,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,3810,Automatic,189.0,74.4,66.3,22,29,4, Gas,2.4,Blue,Black,445.0,suv
2018 Jeep Wrangler Unlimited Sahara,27998,69,5,No Accidents or Damage Reported,0,0,22.5,116.0,41.0,41.3,4397,Automatic,184.9,73.7,72.6,16,21,6, Gas,3.6,Silver,Black,541.7,suv
2015 Chevrolet Equinox LTZ,17998,74,8,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,40.9,3829,Automatic,187.8,72.5,66.3,22,32,4, Gas,2.4,Black,Black,351.0,suv
2017 GMC Yukon Denali,38998,86,6,No Accidents or Damage Reported,0,13,26.0,116.0,45.3,42.8,5482,Automatic,203.9,80.5,74.4,15,22,8, Gas,6.2,Black,Cream,1122.0,suv
2018 Jeep Grand Cherokee Trailhawk,29998,65,5,No Accidents or Damage Reported,0,14,24.6,114.8,40.3,39.9,5004,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,White,Black,650.0,suv
2023 Nissan Rogue SV,29998,18,0,No Accidents or Damage Reported,0,0,14.5,106.5,41.5,41.1,3490,Automatic,183.0,72.4,66.5,30,37,3, Turbo Gas,1.5,Black,Black,803.6,suv
2023 Genesis GV80,61998,4,0,No Accidents or Damage Reported,0,0,21.1,116.3,41.6,40.2,4850,Automatic,194.7,77.8,67.5,20,24,4, Turbo Gas,2.5,White,Cream,1884.8,suv
2022 Toyota RAV4 Hybrid Limited,42998,16,1,No Accidents or Damage Reported,0,0,14.5,105.9,41.0,37.7,3780,Automatic,180.9,73.0,67.0,41,38,4, Hybrid,2.5,Blue,Black,452.8,suv
2021 Kia Telluride SX,43998,25,2,No Accidents or Damage Reported,0,0,18.8,114.2,41.4,39.5,4354,Automatic,196.9,78.3,68.9,19,24,6, Gas,3.8,Green,Black,503.8,suv
2019 Mercedes-Benz GLC300,28998,38,4,No Accidents or Damage Reported,0,0,17.4,113.1,40.8,41.9,3891,Automatic,183.3,74.4,64.5,22,27,4, Turbo Gas,2.0,Black,Black,2100.0,suv
2016 Acura MDX,24998,66,7,No Accidents or Damage Reported,0,10,19.5,111.0,41.5,38.1,4262,Automatic,193.6,77.2,67.6,18,26,6, Gas,3.5,White,Tan,568.1,suv
2022 Toyota Highlander LE,32998,45,1,No Accidents or Damage Reported,0,0,17.9,112.2,42.0,41.2,4330,Automatic,194.9,76.0,68.1,20,27,6, Gas,3.5,Gray,Gray,559.6,suv
2020 Cadillac XT5 Premium Luxury,34998,40,3,No Accidents or Damage Reported,0,0,21.7,112.5,41.2,37.9,4206,Automatic,189.6,74.9,66.1,18,25,6, Gas,3.6,Gray,Brown,542.0,suv
2023 Hyundai Santa Fe SEL,30998,5,0,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,3810,Automatic,188.4,74.8,66.3,25,28,4, Gas,2.5,Black,Black,452.5,suv
2021 Mercedes-Benz GLB250,35998,25,2,No Accidents or Damage Reported,0,0,15.9,111.4,41.4,40.7,3759,Automatic,182.4,72.2,65.3,23,30,4, Turbo Gas,2.0,Black,Black,1433.3,suv
2021 Ford Expedition Max XLT,43998,55,2,No Accidents or Damage Reported,0,0,28.3,131.6,43.9,42.0,5793,Automatic,221.9,79.9,76.2,16,21,6, Turbo Gas,3.5,Gray,Gray,1342.9,suv
2022 Nissan Rogue SL,35998,22,1,No Accidents or Damage Reported,0,0,14.5,106.5,41.5,39.2,3697,Automatic,183.0,72.4,66.5,28,34,3, Turbo Gas,1.5,Gray,Black,803.6,suv
2022 Toyota Corolla Cross XLE,31998,4,1,No Accidents or Damage Reported,0,0,12.4,103.9,42.9,38.6,3170,Automatic,175.6,71.9,64.8,31,33,4, Gas,2.0,Black,Black,343.2,suv
2017 Buick Envision Essence,22998,33,6,No Accidents or Damage Reported,0,0,17.3,108.3,40.9,40.0,3755,Automatic,183.7,72.4,66.8,22,29,4, Gas,2.5,Red,Tan,436.4,suv
2019 Lexus NX 300,31998,23,4,No Accidents or Damage Reported,0,4,15.9,104.7,42.8,38.2,3940,Automatic,182.3,73.6,64.8,22,28,4, Turbo Gas,2.0,Silver,Black,1563.6,suv
2019 Toyota RAV4 Hybrid Limited,31998,71,4,No Accidents or Damage Reported,0,1,14.5,105.9,41.0,37.7,3800,Automatic,180.9,73.0,67.0,41,38,4, Hybrid,2.5,Gray,Black,452.8,suv
2021 GMC Acadia SLT,34998,42,2,No Accidents or Damage Reported,0,6,22.0,112.5,41.0,40.0,4234,Automatic,193.4,75.4,66.7,19,26,6, Gas,3.6,Black,Black,542.0,suv
2019 Hyundai Tucson SEL,17998,97,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,3426,Automatic,176.4,72.8,64.8,22,28,4, Gas,2.4,White,Gray,437.5,suv
2018 BMW X5 XDrive35i,33998,43,5,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,4790,Automatic,192.4,76.3,69.4,18,24,6, Turbo Gas,3.0,Gray,Black,2500.0,suv
2016 Ford Flex SEL,20998,79,7,No Accidents or Damage Reported,0,0,18.6,117.9,40.8,41.8,4637,Automatic,201.8,75.9,68.0,16,22,6, Gas,3.5,Gray,Gray,635.0,suv
2019 Land Rover Range Rover Autobiography,74998,40,4,No Accidents or Damage Reported,0,0,27.3,115.0,42.5,39.3,5254,Automatic,196.9,78.1,73.6,16,21,8, Supercharged Gas,5.0,White,Black,1844.0,suv
2022 Hyundai Santa Cruz SEL,26998,21,1,No Accidents or Damage Reported,0,0,17.7,118.3,41.4,40.7,3725,Automatic,195.7,75.0,66.7,21,26,4, Gas,2.5,White,Black,452.5,suv
2019 Mazda CX-5 Signature,25998,54,4,No Accidents or Damage Reported,0,0,15.3,106.2,41.0,39.3,3825,Automatic,179.1,72.5,65.3,22,27,4, Turbo Gas,2.5,Silver,Brown,1550.0,suv
2020 Jeep Grand Cherokee High Altitude,36998,27,3,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,39.9,4965,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,Silver,Black,650.0,suv
2017 GMC Yukon SLT,37998,75,6,No Accidents or Damage Reported,0,0,26.0,116.0,45.3,42.8,5626,Automatic,203.9,80.5,74.4,16,22,8, Gas,5.3,White,Gray,934.1,suv
2017 Nissan Rogue Sport SL,21998,50,6,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,3415,Automatic,172.4,72.3,63.3,24,30,4, Gas,2.0,Black,Black,334.1,suv
2016 Ford F150 XLT,26998,109,7,No Accidents or Damage Reported,0,2,23.0,145.0,43.9,40.8,4709,Automatic,231.9,79.9,77.2,15,21,8, Gas,5.0,Green,Gray,1005.2,suv
2016 Jeep Grand Cherokee Limited,23998,58,7,No Accidents or Damage Reported,0,7,24.6,114.8,40.3,39.9,4875,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,Gray,Black,650.0,suv
2020 Land Rover Range Rover Evoque R-Dynamic SE,37998,54,3,No Accidents or Damage Reported,0,3,17.7,105.6,40.0,39.9,4075,Automatic,172.1,75.0,64.9,21,26,4, Turbo Gas,2.0,Black,Black,1966.7,suv
2019 Jeep Compass Trailhawk,23998,52,4,No Accidents or Damage Reported,0,4,13.5,103.8,41.8,39.2,3633,Automatic,173.0,73.8,64.8,22,30,4, Gas,2.4,White,Black,448.7,suv
2020 Kia Sorento LX,22998,45,3,No Accidents or Damage Reported,0,0,18.8,109.4,44.1,39.5,3953,Automatic,189.0,74.4,66.3,21,26,4, Gas,2.4,Blue,Black,445.0,suv
2017 Honda HR-V EX,21998,48,6,No Accidents or Damage Reported,0,2,13.2,102.8,41.2,37.6,3094,Automatic,169.1,69.8,63.2,27,31,4, Gas,1.8,Black,Black,295.3,suv
2020 Audi Q5 Titanium Premium,28998,72,3,No Accidents or Damage Reported,0,0,18.5,111.0,41.0,40.2,4034,Automatic,183.6,74.5,65.3,22,28,4, Turbo Gas,2.0,Gray,Black,1706.2,suv
2021 Honda Pilot Touring,37998,38,2,No Accidents or Damage Reported,0,9,19.5,111.0,40.9,39.5,4127,Automatic,196.5,78.6,70.6,20,27,6, Gas,3.5,White,Tan,557.4,suv
2019 Volvo XC90 T6 Momentum,37998,36,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,4394,Automatic,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Blue,Tan,1340.9,suv
2014 GMC Acadia SLT,19998,84,9,No Accidents or Damage Reported,0,0,22.0,118.9,41.3,40.3,4850,Automatic,200.8,78.9,70.4,16,23,6, Gas,3.6,Gray,Black,794.1,suv
2018 Hyundai Tucson SEL,16998,101,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,3300,Automatic,176.2,72.8,64.8,23,30,4, Gas,2.0,Blue,Black,377.5,suv
2022 Nissan Rogue SV,28998,14,1,No Accidents or Damage Reported,0,0,14.5,106.5,41.5,41.1,3618,Automatic,183.0,72.4,66.5,28,35,3, Turbo Gas,1.5,Gray,Black,803.6,suv
2019 Volvo XC90 T6 Momentum,34998,46,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,4394,Automatic,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Black,Champagne,1340.9,suv
2020 Volvo XC90 T6 Momentum,39998,32,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,4394,Automatic,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,White,Tan,1340.9,suv
