,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
46,2013 Mazda MX-5 Miata Club,18998,66 ,10,No Accidents or Damage Reported,0,0,12.7,91.7,43.1,37.0,0,2542,Null,Rear Wheel Drive,Automatic,140,5000,157.3,67.7,49.4,21,28,4, Gas,2.0,Red,Black,280.0
47,2018 Ford Mustang Ecoboost,22998,64 ,5,No Accidents or Damage Reported,0,7,15.5,107.1,44.5,37.6,0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7
48,2020 Ford Mustang Ecoboost Premium,26998,38 ,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7
49,2015 Chevrolet Camaro LT,19998,63 ,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.8,0,4015,Null,Rear Wheel Drive,Automatic,278,4800,190.6,75.5,54.7,17,28,6, Gas,3.6,Silver,Black,579.2
50,2020 Acura TLX,26998,26 ,3,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,0,3505,Null,Front Wheel Drive,Automatic,182,4500,190.7,73.0,57.0,23,33,4, Gas,2.4,Black,Black,404.4
51,2014 Chevrolet Corvette Stingray,38998,78 ,9,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,17,29,8, Gas,6.2,Burgundy,Brown,1000.0
52,2016 Jaguar F-Type,34998,55 ,7,No Accidents or Damage Reported,0,4,18.5,103.2,43.0,37.0,0,3477,Null,Rear Wheel Drive,Automatic,332,3500,176.0,75.7,51.6,19,28,6, Supercharged Gas,3.0,Black,Black,948.6
53,2018 Audi S4 Premium Plus,35998,22 ,5,No Accidents or Damage Reported,0,0,15.3,111.2,41.3,38.9,0,3858,Null,All Wheel Drive,Automatic,369,1370,186.8,72.5,55.3,21,30,6, Turbo Gas,3.0,Red,Gray,2693.4
54,2021 Mazda MX-5 Miata Grand Touring,30998,4 ,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,0,2341,Null,Rear Wheel Drive,Manual 5 Speed,151,4000,154.1,68.3,48.8,26,34,4, Gas,2.0,Gray,Black,377.5
56,2019 Mazda MX-5 Miata Club,26998,10 ,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,0,2388,Null,Rear Wheel Drive,Automatic,151,4000,154.1,68.3,48.8,26,35,4, Gas,2.0,Red,Black,377.5
