,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
100,2019 Chevrolet Camaro 2SS,"$34,998*",54K miles,4 year(s),No Accidents or Damage Reported,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/40ZR20,"43.9""","38.4""",Null,"3,956 lbs",Null,16 city/24 hwy,"8-cyl, Gas, 6.2L",Null,Automatic,Silver/Black,None,2']
101,2018 Subaru BRZ Limited,"$28,998*",23K miles,5 year(s),No Accidents or Damage Reported,Null,,151 torque@6400rpm,200 horsepower@7000rpm,13.2 gal,"166.7"" L x 69.9"" W x 50.6"" H","101.2""",P215/45WR17,"41.9""","37.1""",Null,"2,840 lbs",Null,24 city/33 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Blue/Black,None,2']
102,2019 Ford Mustang Ecoboost,"$24,998*",55K miles,4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55WR17,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Red/Black,None,2']
103,2022 Ford Mustang Ecoboost Premium,"$29,998*",33K miles,1 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,29 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Black/Black,None,2']
104,2021 Dodge Challenger SXT,"$26,998*",59K miles,2 year(s),,Null,,268 torque@4800rpm,303 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 58.4"" H","116.2""",P235/55HR19,"42""","39.3""",Null,"4,057 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Black/Black,None,2']
105,2014 Chevrolet Camaro LT,"$22,998*",46K miles,9 year(s),No Accidents or Damage Reported,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,738 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Red/Black,None,2']
106,2014 Chevrolet Camaro LT,"$20,998*",70K miles,9 year(s),,Null,4 Service Record(s) Reported,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,738 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,White/Black,None,2']
107,2020 Ford Mustang Shelby GT350,"$59,998*",28K miles,3 year(s),,Null,,429 torque@4750rpm,526 horsepower@7500rpm,16 gal,"188.9"" L x 75.9"" W x 54.2"" H","107.1""",P295/35ZR19,"44.5""","37.6""",Null,"3,760 lbs",Null,14 city/21 hwy,"8-cyl, Gas, 5.2L",Rear Wheel Drive,Manual 6 Speed,Gray/Gray,None,2']
108,2020 Ford Mustang Ecoboost,"$24,998*",46K miles,3 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55WR17,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/30 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Gray/Black,None,2']
109,2021 Dodge Challenger R/T Scat Pack,"$43,998*",11K miles,2 year(s),,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.7"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,230 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Null,Automatic,Silver/Black,None,2']
