ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
1 year(s),No Accidents or Damage Reported,Null,,2022 Jeep Gladiator Mojave,"$42,998*",41K miles,22 gal,"137.3""","41.2""","42.8""",Null,"4,948 lbs","4,500/4,500 lbs",Null,Automatic,260,4400,"218"" L "," 73.8"" W "," 76.1"" H",Null,Null,6-cyl, Gas, 3.6L,White,Black,590.9090909090909
6 year(s),,Null,8 Service Record(s) Reported,2017 Honda Ridgeline RTL,"$29,998*",29K miles,19.5 gal,"125.2""","40.9""","40.1""",Null,"4,445 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,262,4700,"210"" L "," 78.6"" W "," 70.8"" H",18 city,25 hwy,6-cyl, Gas, 3.5L,Green,Tan,557.4468085106383
1 year(s),No Accidents or Damage Reported,Null,,2022 Ford Maverick Lariat,"$35,998*",16K miles,13.8 gal,"121.1""","42.8""","40.3""",Null,"3,636 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,277,3000,"199.7"" L "," 72.6"" W "," 68.7"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,Blue,Brown,923.3333333333334
5 year(s),Multiple Damage Events,Null,13 Service Record(s) Reported,2018 Toyota Tacoma TRD Off Road,"$35,998*",62K miles,21.1 gal,"127.4""","42.9""","39.7""",Null,"4,445 lbs","6,400/6,400 lbs",Four Wheel Drive,Manual 6 Speed,265,4600,"212.3"" L "," 75.2"" W "," 70.6"" H",17 city,20 hwy,6-cyl, Gas, 3.5L,Black,Black,576.0869565217391
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Frontier SV,"$31,998*",36K miles,21.1 gal,"139.8""","42.3""","39.9""",Null,"4,654 lbs","6,260/6,260 lbs",Four Wheel Drive,Automatic,281,4400,"224.1"" L "," 73"" W "," 72.4"" H",Null,Null,6-cyl, Gas, 3.8L,White,Black,638.6363636363636
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Frontier PRO-X,"$36,998*",19K miles,21.1 gal,"126""","42.3""","39.9""",Null,"4,513 lbs","6,470/6,470 lbs",Rear Wheel Drive,Automatic,281,4400,"210.2"" L "," 73"" W "," 72"" H",Null,Null,6-cyl, Gas, 3.8L,White,Black,638.6363636363636
4 year(s),No Accidents or Damage Reported,Null,,2019 Chevrolet Silverado 1500 High Country,"$48,998*",35K miles,24 gal,"156.95""","44.53""","43.03""",Null,"4,867 lbs","12,000/12,000 lbs",Four Wheel Drive,Automatic,383,4100,"241.21"" L "," 81.24"" W "," 75.4"" H",16 city,22 hwy,8-cyl, Gas, 5.3L,White,Black,934.1463414634146
2 year(s),,Null,,2021 Nissan Titan SV,"$34,998*",32K miles,26 gal,"139.8""","41.8""","41""",Null,"5,649 lbs","9,210/9,210 lbs",Four Wheel Drive,Automatic,413,4000,"228.1"" L "," 79.5"" W "," 76"" H",15 city,21 hwy,8-cyl, Gas, 5.6L,Silver,Black,1032.5
3 year(s),No Accidents or Damage Reported,Null,,2020 GMC Canyon SLT,"$34,998*",42K miles,21 gal,"128.3""","45""","41.4""",Null,"3,980 lbs","7,600/7,600 lbs",Four Wheel Drive,Automatic,275,4000,"212.4"" L "," 74.3"" W "," 70.6"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,Blue,Black,687.5
5 year(s),No Accidents or Damage Reported,Null,,2018 Ram 1500 Express,"$22,998*",118K miles,32 gal,"140""","41""","39.9""",Null,"5,111 lbs","8,320/8,320 lbs",Four Wheel Drive,Automatic,269,4175,"231"" L "," 79.4"" W "," 75"" H",16 city,23 hwy,8-cyl, Gas, 5.7L,Black,Gray,644.311377245509
